Legacy Intel Atom® Processors,Desktop,230,End of Interactive Support,Q2'08,45 nm,$29.00 ,1,,1.60 GHz,,512 KB L2,533 MHz FSB,4 W,No,,,,,,,,,,,,,,,,,,,,,85.2°C,Yes,No,Yes,64-bit,"SSE2, SSE3, SSSE3",No,No,,Yes,Intel Atom 230 @ 1.60GHz,NA,0,324,NA,257,NA,4,80.93,9-Mar,BGA437,Desktop,9-Mar,3/1/2009
Intel® Atom™ Processor C Series,Embedded,C2338,Launched,Q3'13,22 nm,$60.00 ,2,2,1.70 GHz,2.00 GHz,1 MB,,7 W,Yes,Yes,16 GB,DDR3/DDR3L 1333,1,,Yes,,,,,,,,,,,,2,"x1,x2",8,,No,Yes,Yes,64-bit,,,,,Yes,Intel Atom C2338 @ 1.74GHz,NA,0,898,NA,359,NA,7,128.31,14-Oct,FCBGA1283,Laptop,14-Oct,10/1/2014
Intel® Atom™ Processor C Series,Embedded,C2358,Launched,Q3'13,22 nm,$60.00 ,2,2,1.70 GHz,2.00 GHz,1 MB,,7 W,Yes,Yes,16 GB,DDR3/DDR3L 1333,1,,Yes,,,,,,,,,,,,2,"x1,x2",8,,No,Yes,Yes,64-bit,,,,,Yes,Intel Atom C2358 @ 1.74GHz,NA,0,961,NA,448,NA,7,137.29,16-Jun,FCBGA1283,Laptop,16-Jun,6/1/2016
Intel® Atom™ Processor C Series,Embedded,C2538,Launched,Q3'13,22 nm,$104.00 ,4,4,2.40 GHz,,2 MB,,15 W,Yes,Yes,64 GB,DDR3/DDR3L 1600,2,,Yes,,,,,,,,,,,,2,"x1,x2,x4,x8,x16",16,,No,Yes,Yes,64-bit,,,,,Yes,Intel Atom C2538 @ 2.40GHz,$104.00*,$104.00 ,2086,20.05,558,5.36,15,139.03,18-May,FCBGA1283,Laptop,18-May,5/1/2018
Intel® Atom™ Processor C Series,Server,C2550,Launched,Q3'13,22 nm,$86.00 ,4,4,2.40 GHz,2.60 GHz,2 MB,,14 W,No,Yes,64 GB,DDR3/DDR3L 1600,2,25.6 GB/s,Yes,,,,,,,,,,,,2,"x1,x2,x4,x8,x16",16,96°C ,No,Yes,,64-bit,,,,,,Intel Atom C2550 @ 2.40GHz,NA,0,2048,NA,574,NA,14,146.27,14-Aug,FCBGA1283,Server,14-Aug,8/1/2014
Intel® Atom™ Processor C Series,Embedded,C2558,Launched,Q3'13,22 nm,$104.00 ,4,4,2.40 GHz,,2 MB,,15 W,Yes,Yes,64 GB,DDR3/DDR3L 1600,2,,Yes,,,,,,,,,,,,2,"x1,x2,x4,x8,x16",16,,No,Yes,Yes,64-bit,,,,,Yes,Intel Atom C2558 @ 2.40GHz,$136.00*,$136.00 ,2169,15.95,551,4.05,15,144.61,15-Jul,BGA 1283,Laptop,15-Jul,7/1/2015
Intel® Atom™ Processor C Series,Server,C2750,Launched,Q3'13,22 nm,$171.00 ,8,8,2.40 GHz,2.60 GHz,4 MB,,20 W,No,Yes,64 GB,DDR3/DDR3L 1600,2,25.6 GB/s,Yes,,,,,,,,,,,,2,"x1,x2,x4,x8,x16",16,97°C,No,Yes,,64-bit,,,,,,Intel Atom C2750 @ 2.40GHz,$232.00*,$232.00 ,3694,15.92,588,2.53,20,184.7,14-Mar,FCBGA1283,Server,14-Mar,3/1/2014
Intel® Atom™ Processor C Series,Server,C2750,Launched,Q3'13,22 nm,$171.00 ,8,8,2.40 GHz,2.60 GHz,4 MB,,20 W,No,Yes,64 GB,DDR3/DDR3L 1600,2,25.6 GB/s,Yes,,,,,,,,,,,,2,"x1,x2,x4,x8,x16",16,97°C,No,Yes,,64-bit,,,,,,Intel Atom C2750 @ 2.41GHz,NA,0,3345,NA,448,NA,20,167.24,15-Jun,BGA 1283,Server,15-Jun,6/1/2015
Intel® Atom™ Processor C Series,Embedded,C2758,Launched,Q3'13,22 nm,$208.00 ,8,8,2.40 GHz,,4 MB,,20 W,Yes,Yes,64 GB,DDR3/DDR3L 1600,2,,Yes,,,,,,,,,,,,2,"x1, x2, x4, x8, x16",16,,No,Yes,Yes,64-bit,,,,,Yes,Intel Atom C2758 @ 2.40GHz,$214.86*,$214.86 ,3163,14.72,513,2.39,20,158.13,15-Jul,BGA 1283,Laptop,15-Jul,7/1/2015
Intel® Atom™ Processor C Series,Server,C3538,Launched,Q3'17,14 nm,$75.00 ,4,4,2.10 GHz,2.10 GHz,8 MB,,15 W,Yes,Yes,256 GB,DDR4: 2133,2,,Yes,,,,,,,,,,,,3,"x2,x4,x8",12,"87°C,100°C",No,Yes,,64-bit,,,,No,Yes,Intel Atom C3538 @ 2.10GHz,$75.00*,$75.00 ,2455,32.73,831,11.09,15,163.67,18-May,FCBGA1310,Server,18-May,5/1/2018
Intel® Atom™ Processor C Series,Server,C3558,Launched,Q3'17,14 nm,$86.00 ,4,4,2.20 GHz,2.20 GHz,8 MB,,16 W,Yes,Yes,256 GB,DDR4: 2133,2,,Yes,,,,,,,,,,,,3,"x2,x4,x8",12,"83°C,100°C",No,Yes,,64-bit,,,,No,Yes,Intel Atom C3558 @ 2.20GHz,$86.00*,$86.00 ,2539,29.52,876,10.19,16,158.68,17-Nov,FCBGA1310,Server,17-Nov,11/1/2017
Intel® Atom™ Processor C Series,Server,C3758,Launched,Q3'17,14 nm,$193.00 ,8,8,2.20 GHz,2.20 GHz,16 MB,,25 W,Yes,Yes,256 GB,DDR4: 2400,2,,Yes,,,,,,,,,,,,3,"x2,x4,x8",16,"82°C,100°C",No,Yes,,64-bit,,,,No,Yes,Intel Atom C3758 @ 2.20GHz,$193.00*,$193.00 ,4675,24.22,857,4.44,25,187,20-Apr,FCBGA1310,Server,20-Apr,4/1/2020
Intel® Atom™ Processor C Series,Server,C3858,Launched,Q3'17,14 nm,$332.00 ,12,12,2.00 GHz,2.00 GHz,12 MB,,25 W,Yes,Yes,256 GB,DDR4: 2400,2,,Yes,,,,,,,,,,,,3,"x2,x4,x8",16,"83°C,100°C",No,Yes,,64-bit,,,,No,Yes,Intel Atom C3858 @ 2.00GHz,$332.00*,$332.00 ,4853,14.62,771,2.32,25,194.11,18-Jul,FCBGA1310,Server,18-Jul,7/1/2018
Intel® Atom™ Processor C Series,Server,C3958,Launched,Q3'17,14 nm,$449.00 ,16,16,2.00 GHz,2.00 GHz,16 MB,,31 W,Yes,Yes,256 GB,DDR4: 2400,2,,Yes,,,,,,,,,,,,3,"x2,x4,x8",16,"83°C,100°C",No,Yes,,64-bit,,,,No,Yes,Intel Atom C3958 @ 2.00GHz,$449.00*,$449.00 ,6586,14.67,791,1.76,31,212.46,19-Aug,FCBGA1310,Server,19-Aug,8/1/2019
Intel® Atom™ Processor D Series,Desktop,D2500,End of Interactive Support,Q3'11,32 nm,$42.00 ,2,2,1.86 GHz,,1 MB L2,2.5 GT/s DMI,10 W,No,Yes,4 GB,DDR3 800/1066 ,1,6.4 GB/s,No,,400 MHz,,,,,,,,,,,,4,100 C,No,No,Yes,64-bit,"SSE2, SSE3, SSSE3",,,,Yes,Intel Atom D2500 @ 1.86GHz,NA,0,441,NA,319,NA,10,44.12,12-Apr,BGA559,Desktop,12-Apr,4/1/2012
