FX-8150,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Desktop,,8,8,,,3.6GHz,4.2GHz,,384KB,8MB,8MB,Yes,32nm,AM3+,,n/a,,125W,,61°C,,DDR3,,,,,Discrete Graphics Card Required,,,,,,AMD FX-8150 Eight-Core,139.95,139.9,4968,35.5,1377,9.84,125,39.75,11-Sep,AM3+,Desktop,11-Sep,9/1/2011
FX-4100,AMD FX-Series Processors,AMD FX 4-Core Black Edition Processors,Desktop,,4,4,,,3.6GHz,3.8GHz,,192KB,4MB,8MB,Yes,32nm SOI,AM3+,,n/a,,95W,,70.50°C,1866MHz,DDR3,,,,,Discrete Graphics Card Required,,,,,,AMD FX-4100 Quad-Core,39.38,39.3,2591,65.79,1313,33.34,95,27.27,11-Oct,AM3+,Desktop,11-Oct,10/1/2011
FX-8120,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Desktop,,8,8,,,3.1GHz,4GHz,,384KB,8MB,8MB,Yes,32nm,AM3+,,n/a,,125W,,61°C,,Not Listed,,,,,Discrete Graphics Card Required,,,,,,AMD FX-8120 Eight-Core,99.95,99.9,4341,43.43,1320,13.21,125,34.73,11-Oct,AM3+,Desktop,11-Oct,10/1/2011
FX-4170,AMD FX-Series Processors,AMD FX 4-Core Black Edition Processors,Desktop,,4,4,,,4.2GHz,4.3GHz,,192KB,4MB,8MB,No,32nm,AM3+,,n/a,,125W,,61.10°C,,Not Listed,,,,,Discrete Graphics Card Required,,,,,,AMD FX-4170 Quad-Core,$128.68*,$128.68 ,2897,22.52,1436,11.16,125,23.18,12-Mar,AM3+,Desktop,12-Mar,3/1/2012
FX-6200,AMD FX-Series Processors,AMD FX 6-Core Black Edition Processors,Desktop,,6,6,,,3.8GHz,4.1GHz,,288KB,6MB,8MB,Yes,32nm SOI,AM3+,,n/a,,125W,,61.10°C,1866MHz,DDR3,,,,,Discrete Graphics Card Required,,,,,,AMD FX-6200 Six-Core,98.86,98.8,3995,40.41,1404,14.2,125,31.96,12-Mar,AM3+,Desktop,12-Mar,3/1/2012
FX-6300,AMD FX-Series Processors,AMD FX 6-Core Black Edition Processors,Desktop,,6,6,,,3.5GHz,3.8GHz,,288KB,6MB,8MB,No,32nm SOI,AM3+,,PCIe 3.0,,95W,,70.50°C,1866MHz,DDR3,,,,,Discrete Graphics Card Required,,,,,,AMD FX-6300 Six-Core,70,7,4114,58.77,1475,21.07,95,43.31,12-Oct,AM3+,Desktop,12-Oct,10/1/2012
FX-8320,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Desktop,,8,8,,,3.5GHz,4GHz,,384KB,8MB,8MB,Yes,32nm SOI,AM3+,,n/a,,125W,,61.10°C,1866MHz,DDR3,,,,,Discrete Graphics Card Required,,,,,,AMD FX-8320 Eight-Core,169.95,169.9,5284,31.09,1460,8.59,125,42.27,12-Oct,AM3+,Desktop,12-Oct,10/1/2012
FX-4130,AMD FX-Series Processors,AMD FX 4-Core Black Edition Processors,Desktop,,4,4,,,3.8GHz,3.9GHz,,192KB,4MB,4MB,Yes,32nm SOI,AM3,,n/a,,125W,,70°C,1866MHz,DDR3,,,,,Discrete Graphics Card Required,,,,,,AMD FX-4130 Quad-Core,68.86,68.8,2654,38.55,1300,18.88,125,21.24,12-Dec,AM3+,Desktop,12-Dec,12/1/2012
FX-4300,AMD FX-Series Processors,AMD FX 4-Core Black Edition Processors,Desktop,,4,4,,,3.8GHz,4GHz,,192KB,4MB,4MB,Yes,32nm SOI,AM3+,,n/a,,95W,,70.50°C,1866MHz,DDR3,,,,,Discrete Graphics Card Required,,,,,,AMD FX-4300 Quad-Core,69.95,69.9,2979,42.59,1498,21.41,95,31.36,12-Dec,AM3+,Desktop,12-Dec,12/1/2012
FX-8300,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Desktop,,8,8,,,3.3GHz,4.2GHz,,384KB,8MB,8MB,Yes,32nm SOI,AM3+,,n/a,,95W,,70.50°C,1866MHz,DDR3,,,,,Discrete Graphics Card Required,,,,,,AMD FX-8300 Eight-Core,149.95,149.9,5338,35.6,1496,9.98,95,56.19,13-Jan,AM3+,Desktop,13-Jan,1/1/2013
FX-4350,AMD FX-Series Processors,AMD FX 4-Core Black Edition Processors,Desktop,,4,4,,,4.2GHz,4.3GHz,,192KB,4MB,8MB,Yes,32nm SOI,AM3+,,n/a,,125W,,61.10°C,1866MHz,DDR3,,,,,Discrete Graphics Card Required,,,,,,AMD FX-4350 Quad-Core,98.68,98.6,3406,34.51,1647,16.69,125,27.24,13-Jun,AM3+,Desktop,13-Jun,6/1/2013
E1-2100,AMD E-Series Processors,AMD E1-Series APU for Laptops,Laptop,,2,2,,,1GHz,,,,1MB,,No,28nm,FT3,,,,9W,,,,,1,,,,AMD Radeon™ HD 8210,,Yes,Yes,,,AMD E1-2100 APU,NA,0,413,NA,327,NA,9,45.93,13-Jul,FT3,Laptop,13-Jul,7/1/2013
FX-9370,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Desktop,,8,8,,,4.4GHz,4.7GHz,,384KB,8MB,8MB,Yes,32nm SOI,AM3+,,n/a,,220W,,57°C,1866MHz,DDR3,,,,,Discrete Graphics Card Required,,,,,,AMD FX-9370 Eight-Core,298.68,298.6,6033,20.2,1667,5.58,220,27.42,13-Jul,AM3+,Desktop,13-Jul,7/1/2013
FX-9590,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Desktop,,8,8,,,4.7GHz,5GHz,,384KB,8MB,8MB,Yes,32nm SOI,AM3+,,n/a,,220W,,57°C,1866MHz,DDR3,,,,,Discrete Graphics Card Required,,,,,,AMD FX-9590 Eight-Core,221,22,6625,29.98,1802,8.15,220,30.12,13-Aug,AM3+,Desktop,13-Aug,8/1/2013
E1-2500,AMD E-Series Processors,AMD E1-Series APU for Laptops,Laptop,,2,2,,,1.4GHz,,,,1MB,,No,28nm,FT3,,,,15W,,,,,1,,,,AMD Radeon™ HD 8240,,Yes,Yes,,,AMD E1-2500 APU,NA,0,592,NA,456,NA,15,39.45,13-Sep,FT3,Laptop,13-Sep,9/1/2013
A10-7700K,AMD A-Series Processors,AMD A10-Series APU for Desktops,Desktop,,4,4,6,10 (4 CPU + 6 GPU),3.4GHz,3.8GHz,,256KB,4MB,,Yes,28nm,FM2+,,,,,45W/65WW,72.40°C,2133MHz,,2,,720 MHz,,AMD Radeon™ R7 Graphics,384,Yes,Yes,,,AMD A10-7700K APU,119.99,119.9,3191,26.6,1451,12.09,95,33.59,14-Jan,FM2+,Desktop,14-Jan,1/1/2014
A10-7850K,AMD A-Series Processors,AMD A10-Series APU for Desktops,Desktop,,4,4,8,12 (4 CPU + 8 GPU),3.7GHz,4GHz,,256KB,4MB,,Yes,28nm,FM2+,,,,95W,,72.40°C,2133MHz,,2,,720 MHz,,AMD Radeon™ R7 Graphics,512,Yes,Yes,,,AMD A10-7850K APU,149.95,149.9,3271,21.82,1445,9.64,95,34.43,14-Jan,FM2+,Desktop,14-Jan,1/1/2014
E2-3000,AMD E-Series Processors,AMD E2-Series APU for Laptops,Laptop,,2,2,,,1.65GHz,,,,1MB,,No,28nm,FT3,,,,15W,,,,,1,,,,AMD Radeon™ HD 8280,,Yes,Yes,,,AMD E2-3000 APU,NA,0,682,NA,514,NA,15,45.43,14-Feb,FT3,Laptop,14-Feb,2/1/2014
