,name,size,latency,readRate,writeRate,Price,RAMmark
0,Avexir Technologies Corporation [V.I.V] 8GB,8,24.0,14.9,9.9,8.1,865.2651490613832
1,CHIPS & Systems Inc BLS8 8GB,8,23.0,11.1,5.4,69.5,900.7315794351999
2,Chrysalis ITS CMY16GX3M2A2400C11 8GB,8,75.0,6.5,3.2,435.9,277.19104407966665
3,Corsair CM3X2GSD1066 2GB,2,210.0,2.1,1.2,14.9,98.9749268924381
4,Corsair CM3X4GSD1066 4GB,4,30.0,12.4,6.7,25.9,691.9503696709667
5,Corsair CMD8GX3M2A1600C7 4GB,4,24.0,15.8,9.6,99.9,865.3349516726832
6,Corsair CMD8GX3M2A1600C8 4GB,4,24.0,14.9,9.2,119.9,865.0677109988833
7,Corsair CMD8GX3M2A1600C9 4GB,4,35.66666667,12.7,9.6,69.9,583.5220250676957
8,Corsair CMD8GX3M2A1866C9 4GB,4,23.0,15.4,9.9,129.4,902.7386034252999
9,Corsair CMD8GX3M2A2133C8 4GB,4,21.0,18.1,10.5,134.9,988.8286152740808
10,Corsair CMD8GX3M2A2133C9 4GB,4,21.0,16.2,11.3,169.9,988.7282632682808
11,Corsair CMD8GX3M2A2400C10 4GB,4,21.0,17.1,11.5,99.9,988.9390930670808
12,Corsair CMD8GX3M2A2400C11 4GB,4,23.0,16.6,10.7,81.9,903.1701388237
13,Corsair CMD8GX3M2A2666C11 4GB,4,21.0,16.1,10.4,169.9,988.4572566725808
14,Corsair CMD8GX3M2A2666C12 4GB,4,20.0,16.7,10.7,109.9,1037.7828943444001
15,Corsair CMD8GX3M2A2933C12 4GB,4,28.0,13.5,9.3,99.9,742.0105206962857
16,Corsair CMD8GX3M2A3000C12 4GB,4,28.0,14.9,8.1,149.9,741.9122626610856
17,Corsair CMD8GX3M2B2133C9 4GB,4,22.0,15.9,10.6,89.9,943.8083745856183
18,Corsair CMD8GX3M2B2800C12 4GB,4,20.0,16.2,11.1,154.9,1037.8099278034
19,Corsair CMD16GX3M2A1600C7 8GB,8,34.66666667,14.1,9.1,169.9,600.3126074148224
20,Corsair CMD16GX3M2A1600C9 8GB,8,34.0,15.1,10.2,133.9,612.4675160793764
21,Corsair CMD16GX3M2A1866C9 8GB,8,33.33333333,15.2,9.7,119.9,624.4836417133139
22,Corsair CMD16GX3M2A1866C10 8GB,8,28.0,13.7,9.1,162.3,741.9884251376857
23,Corsair CMD16GX3M2A2133C9 8GB,8,33.0,15.7,9.8,129.9,630.8515722502788
24,Corsair CMD16GX3M2A2400C10 8GB,8,23.0,15.7,10.9,179.9,903.0721307749
25,Corsair CMD16GX3M2A2400C11 8GB,8,33.75,16.1,10.3,164.4,617.1635925808481
26,Corsair CMD16GX3M2A2666C11 8GB,8,20.0,16.7,11.2,249.9,1037.9239215319
27,Corsair CMD16GX3M2A2666C12 8GB,8,21.0,16.3,10.5,222.9,988.5197774264808
28,Corsair CMD16GX3M4A1600C7 4GB,4,26.0,13.8,9.8,189.9,798.9008001777538
29,Corsair CMD16GX3M4A1866C9 4GB,4,33.0,15.3,10.5,235.4,630.9803796799788
30,Corsair CMD16GX3M4A2133C8 4GB,4,21.0,17.3,11.2,397.1,988.8887920709808
31,Corsair CMD16GX3M4A2133C9 4GB,4,27.66666667,16.1,11.9,319.9,752.0703361687299
32,Corsair CMD16GX3M4A2400C9 4GB,4,21.0,15.9,12.1,469.9,988.9024337936809
