,name,year,TDP,Price,G3D_Mark,G2D_Mark
0,GeForce RTX 2080 Ti,2018,250.0,1149.99,21579.0,944.0
1,GeForce RTX 2080 SUPER,2019,250.0,709.99,19186.0,913.0
2,TITAN V,2017,250.0,2149.9,18793.0,991.0
3,GeForce RTX 2080,2018,250.0,609.99,18782.0,924.0
4,TITAN RTX,2018,280.0,2499.99,18502.0,849.0
5,Quadro RTX 8000,2019,260.0,4741.4,18467.0,924.0
6,Quadro RTX 6000,2018,295.0,6300.0,18351.0,790.0
7,GeForce RTX 2070 SUPER,2019,215.0,509.99,18120.0,896.0
8,NVIDIA TITAN Xp,2017,250.0,1398.6,17934.0,883.0
9,GeForce GTX 1080 Ti,2017,250.0,800.0,17283.0,913.0
10,Radeon VII,2019,300.0,599.9,17209.0,828.0
11,Radeon RX 5700 XT,2019,225.0,379.99,16692.0,934.0
12,GeForce RTX 2060 SUPER,2019,175.0,369.99,16308.0,854.0
13,GeForce RTX 2070,2018,175.0,399.99,16262.0,864.0
14,Quadro RTX 4000,2019,160.0,899.0,15850.0,972.0
15,Quadro P6000,2016,250.0,2749.9,15557.0,888.0
16,Radeon RX Vega 64,2017,295.0,389.9,14767.0,789.0
17,GeForce RTX 2060,2019,160.0,279.99,14703.0,818.0
18,GeForce GTX 1080,2016,180.0,669.9,14664.0,861.0
19,GeForce RTX 2080 with Max-Q Design,2019,90.0,2099.9,14366.0,571.0
20,Radeon RX 5700,2019,180.0,329.99,14142.0,858.0
21,Radeon Pro W5700,2020,205.0,799.99,13957.0,838.0
22,GeForce GTX 1070 Ti,2017,180.0,503.25,13944.0,826.0
23,Radeon Pro WX 8200,2018,230.0,969.99,13840.0,770.0
24,NVIDIA TITAN X,2016,250.0,608.1,13660.0,912.0
25,GeForce GTX 980 Ti,2015,250.0,309.2,13647.0,802.0
26,Radeon Vega Frontier Edition,2017,350.0,890.0,13588.0,803.0
27,GeForce GTX 1070,2016,150.0,245.9,13309.0,830.0
28,Radeon RX Vega 56,2017,210.0,259.99,13225.0,764.0
29,Radeon RX 5600 XT,2020,150.0,269.99,12913.0,861.0
30,GeForce GTX 1660 Ti,2019,120.0,279.99,12783.0,810.0
31,Quadro GV100,2018,250.0,8999.0,12721.0,802.0
32,GeForce GTX 1660 SUPER,2019,125.0,229.98,12704.0,804.0
33,GeForce GTX TITAN X,2015,250.0,599.9,12645.0,757.0
34,Quadro P5000,2016,180.0,1714.37,12222.0,755.0
35,Quadro M6000,2015,250.0,1054.0,11816.0,748.0
36,GeForce GTX 1660,2019,120.0,214.99,11354.0,762.0
37,Quadro P4000,2017,105.0,789.99,11194.0,756.0
38,GeForce GTX 980,2014,165.0,223.1,10955.0,740.0
39,GeForce GTX 1060,2016,120.0,302.2,10230.0,763.0
40,Radeon R9 Fury,2015,-1.0,443.1,10004.0,836.0
41,GeForce GTX 1650 SUPER,2019,100.0,159.98,9936.0,743.0
42,Radeon R9 Fury + Fury X,2015,275.0,374.1,9631.0,814.0
43,GeForce GTX 1060 3GB,2016,120.0,235.9,9570.0,720.0
44,GeForce GTX 970,2014,145.0,197.4,9541.0,730.0
45,Quadro P2200,2019,-1.0,414.99,9485.0,892.0
46,Radeon Pro Duo,2016,350.0,449.0,9436.0,824.0
47,Radeon Pro W5500,2020,125.0,399.99,9436.0,869.0
48,GeForce GTX 780 Ti,2013,250.0,225.1,9422.0,635.0
49,Radeon RX 590,2018,175.0,149.9,9384.0,795.0
50,Quadro M5000,2015,150.0,648.9,9170.0,508.0
51,Radeon RX 5500 XT,2019,130.0,179.99,8977.0,796.0
52,GeForce GTX Titan,2013,250.0,310.0,8951.0,691.0
53,GeForce GTX TITAN Black,2014,250.0,433.1,8890.0,557.0
54,Radeon RX 580,2017,185.0,169.99,8724.0,735.0
55,Radeon RX 480,2016,150.0,198.2,8501.0,743.0
56,Quadro K6000,2013,225.0,724.2,8338.0,706.0
57,Radeon R9 295X2,2014,500.0,499.1,8218.0,813.0
58,Radeon R9 290 / 390,2013,275.0,179.3,8153.0,695.0
59,Radeon R9 290X / 390X,2013,290.0,220.1,7998.0,630.0
60,Radeon RX 470,2016,120.0,99.9,7914.0,691.0
61,GeForce GTX 780,2013,250.0,129.9,7900.0,541.0
62,Radeon Pro WX 7100,2016,130.0,499.99,7890.0,758.0
63,GeForce GTX 1650,2019,75.0,139.99,7855.0,711.0
64,FirePro W9100,2014,275.0,3593.1,7750.0,884.0
65,GeForce GTX TITAN Z,2014,375.0,919.1,7647.0,696.0
66,GeForce GTX 980M,2014,100.0,289.9,7526.0,588.0
67,Quadro P2000,2017,75.0,453.8,7245.0,737.0
68,Radeon RX 570,2017,150.0,124.99,6967.0,626.0
69,Tesla M60,2017,-1.0,1395.0,6923.0,661.0
70,Quadro M4000,2015,120.0,279.0,6540.0,634.0
71,GeForce GTX 1050 Ti,2016,75.0,139.99,6446.0,655.0
72,Radeon R9 380X,2015,190.0,445.0,6318.0,672.0
73,FirePro S7150,2016,-1.0,2940.2,6276.0,866.0
74,FirePro W8100,2014,220.0,1112.1,6165.0,738.0
75,Quadro M5000M,2016,100.0,499.9,6134.0,510.0
76,Radeon R9 380,2016,190.0,89.9,6098.0,630.0
77,GeForce GTX 690,2012,300.0,264.1,6054.0,536.0
78,GeForce GTX 770,2013,230.0,109.9,5970.0,560.0
79,GeForce GTX 960,2015,120.0,113.2,5943.0,626.0
80,GeForce GTX 1050,2016,75.0,159.99,5719.0,535.0
81,Quadro K5200,2014,150.0,809.46,5688.0,555.0
82,Radeon HD 7990,2013,375.0,990.4,5566.0,766.0
83,Radeon R9 285 / 380,2015,190.0,449.9,5550.0,655.0
84,FirePro W7100,2015,150.0,289.9,5511.0,669.0
85,GeForce GTX 680,2012,195.0,179.9,5503.0,488.0
86,GeForce GTX 970M,2014,75.0,209.9,5467.0,358.0
87,FirePro W9000,2012,274.0,3443.9,5305.0,647.0
88,GeForce GTX 950,2015,90.0,86.0,5249.0,571.0
89,Radeon HD 7970 / R9 280X,2012,250.0,125.9,5248.0,730.0
90,Quadro M3000M,2015,75.0,159.9,5222.0,556.0
91,GeForce GTX 670,2012,170.0,149.0,5211.0,453.0
92,Radeon Pro WX 5100,2016,75.0,355.99,5178.0,775.0
93,GeForce GTX 760 Ti,2014,170.0,297.5,5119.0,802.0
94,Radeon HD 7950 / R9 280,2012,200.0,109.0,4765.0,691.0
95,Radeon R9 270X,2013,180.0,149.9,4711.0,569.0
96,GeForce GTX 760,2013,170.0,160.3,4680.0,484.0
97,Radeon HD 7870,2012,175.0,147.0,4678.0,545.0
98,FirePro W8000,2013,189.0,1048.9,4674.0,713.0
99,GeForce GTX 580,2012,244.0,145.3,4519.0,370.0
100,P104-100,2020,-1.0,299.9,4450.0,114.0
101,FirePro W7000,2012,150.0,146.0,4395.0,572.0
102,GeForce GTX 660 Ti,2012,150.0,486.6,4359.0,434.0
103,Radeon R9 270 / R7 370,2013,150.0,164.4,4260.0,645.0
104,Quadro K4200,2014,105.0,239.9,4212.0,478.0
105,Quadro P1000,2017,47.0,300.99,4129.0,537.0
106,Radeon RX 460,2016,75.0,274.1,4074.0,538.0
107,Quadro M2000,2016,75.0,298.9,4035.0,561.0
108,GeForce GTX 780M,2013,122.0,189.9,4008.0,423.0
109,Quadro K5000,2012,122.0,384.9,3978.0,426.0
110,Quadro M2200,2017,55.0,249.9,3965.0,355.0
111,GeForce GTX 660,2012,140.0,124.9,3948.0,428.0
112,Radeon HD 8970M,2014,100.0,139.9,3876.0,807.0
113,GeForce GTX 750 Ti,2014,60.0,155.3,3845.0,457.0
114,GeForce GTX 570,2012,219.0,298.6,3842.0,439.0
115,Quadro K2200M,2015,-1.0,124.9,3791.0,483.0
116,Radeon Pro WX 4100,2017,50.0,249.99,3786.0,591.0
117,Radeon HD 7850,2012,130.0,75.0,3763.0,520.0
118,GeForce GTX 480,2012,250.0,579.0,3736.0,418.0
119,Quadro P620,2018,40.0,150.93,3712.0,657.0
120,Radeon RX 560,2017,80.0,109.99,3589.0,496.0
121,GeForce GTX 590,2011,365.0,184.0,3562.0,572.0
122,Quadro K2200,2014,68.0,123.1,3556.0,513.0
123,GeForce GTX 960M,2015,65.0,1169.0,3529.0,239.0
124,Tesla C2050,2010,-1.0,269.9,3515.0,493.0
125,Quadro M2000M,2015,55.0,279.9,3472.0,331.0
126,Tesla C2075,2012,-1.0,340.5,3364.0,537.0
127,GRID K520,2013,-1.0,749.9,3344.0,204.0
128,GeForce GTX 750,2014,55.0,129.9,3321.0,418.0
129,GeForce GTX 680M,2012,100.0,135.9,3304.0,429.0
130,Tesla M10,2019,-1.0,3202.2,3248.0,541.0
131,GeForce 770M,2016,-1.0,176.9,3246.0,500.0
132,Quadro P600,2017,40.0,241.0,3192.0,532.0
133,GRID K2,2013,-1.0,289.9,3176.0,413.0
134,GeForce GTX 470,2012,215.0,522.0,3139.0,367.0
135,Quadro 6000,2010,204.0,3899.99,3128.0,515.0
136,Radeon Pro 455,2018,-1.0,449.0,3113.0,705.0
137,Radeon HD 7790,2013,85.0,180.3,3095.0,473.0
138,Radeon R9 360,2015,85.0,519.0,3032.0,460.0
139,Radeon R7 260X,2013,115.0,132.2,3021.0,494.0
140,Radeon R7 360,2015,100.0,125.0,2989.0,448.0
141,GeForce GTX 560 Ti,2012,170.0,81.6,2981.0,366.0
142,FirePro W5000,2012,75.0,169.8,2949.0,555.0
143,GeForce GTX 465,2012,200.0,263.2,2946.0,582.0
144,Radeon HD 6970,2012,250.0,59.9,2942.0,396.0
145,Quadro K5100M,2014,100.0,285.9,2934.0,534.0
146,Radeon HD 6990,2011,375.0,159.9,2933.0,563.0
147,FirePro W4300,2016,50.0,239.9,2909.0,785.0
148,Radeon R7 260,2014,95.0,89.9,2892.0,559.0
149,Quadro K1200,2015,45.0,190.8,2860.0,601.0
150,Quadro M1000M,2015,40.0,85.9,2852.0,324.0
151,FirePro 3D V9800,2011,225.0,2499.0,2812.0,556.0
152,GeForce GTX 560,2012,150.0,95.9,2756.0,375.0
153,FirePro V7900,2011,150.0,144.0,2749.0,651.0
154,Radeon HD 6950,2012,200.0,148.3,2746.0,357.0
155,Quadro K4100M,2013,100.0,198.0,2719.0,397.0
156,FirePro W5100,2014,75.0,279.1,2717.0,421.0
157,Quadro K4000,2012,80.0,175.9,2683.0,422.0
158,GeForce GTX 770M,2013,75.0,138.0,2663.0,286.0
159,FirePro R5000,2016,-1.0,109.9,2647.0,625.0
160,GeForce GT 1030,2017,30.0,79.99,2617.0,436.0
161,GeForce GTX 950M,2015,75.0,567.0,2603.0,223.0
162,Radeon Pro WX 3200,2019,65.0,189.9,2592.0,499.0
163,Quadro K5000M,2012,100.0,389.2,2572.0,647.0
164,GeForce GTX 650 Ti,2012,110.0,184.3,2502.0,405.0
165,GeForce GTX 460 v2,2011,160.0,199.9,2497.0,605.0
166,FirePro 3D V8800,2010,208.0,424.9,2438.0,632.0
167,Radeon RX 550,2017,50.0,84.99,2426.0,445.0
168,Radeon HD 5970,2012,294.0,329.9,2395.0,396.0
169,Radeon HD 5870,2012,228.0,289.0,2368.0,346.0
170,Quadro K3100M,2013,75.0,399.9,2287.0,282.0
171,GeForce GTX 580M,2011,100.0,248.6,2279.0,562.0
172,Quadro K620,2014,45.0,138.8,2274.0,467.0
173,Radeon HD 6970M,2011,75.0,215.9,2270.0,656.0
174,Radeon R7 250X,2015,95.0,260.7,2269.0,637.0
175,GeForce GTX 460,2012,150.0,169.7,2215.0,360.0
176,GeForce GTX 745,2014,55.0,124.0,2211.0,470.0
177,GeForce GTX 560 SE,2012,150.0,89.9,2201.0,575.0
178,Quadro 5000,2010,152.0,2303.99,2188.0,406.0
179,Radeon HD 6870,2012,151.0,150.0,2149.0,436.0
180,Quadro K4000M,2012,100.0,599.9,2146.0,442.0
181,Radeon HD 5850,2012,151.0,79.9,2109.0,368.0
182,Radeon R9 350,2016,60.0,103.8,2101.0,520.0
183,Radeon HD 7770,2012,80.0,145.3,2038.0,402.0
184,Quadro P520,2019,-1.0,1499.0,2031.0,282.0
185,GeForce GTX 460 SE,2012,150.0,159.9,2026.0,339.0
186,Radeon HD 6850,2012,127.0,165.3,2008.0,358.0
187,Quadro M600M,2015,30.0,102.9,1932.0,622.0
188,FirePro 3D V7800,2010,138.0,599.9,1867.0,562.0
189,Radeon R7 450,2016,65.0,52.4,1861.0,464.0
190,Radeon HD 6790,2011,150.0,64.9,1838.0,278.0
191,Quadro 5010M,2011,100.0,235.9,1833.0,568.0
192,Radeon HD 5830,2012,175.0,159.9,1792.0,298.0
193,FirePro W600,2013,75.0,400.9,1725.0,603.0
194,GeForce GTX 650,2012,64.0,89.3,1720.0,335.0
195,Radeon HD 7750,2012,55.0,144.99,1687.0,377.0
196,Quadro K3000M,2012,75.0,155.0,1685.0,372.0
