,name,year,size,HardMark,SSD_HDD,price
0,ADATA Permier SP550 480GB,2015,447.1,4185.0,1,105.0
1,ADATA Permier SP600 32GB,2013,29.8,979.0,1,114.1
2,ADATA Premier Pro SP900 128GB,2012,119.2,2583.0,1,70.4
3,ADATA Premier Pro SP900 256GB,2013,238.5,3793.0,1,87.1
4,ADATA Premier SP600 128GB,2013,119.2,2103.0,1,62.6
5,ADATA Premier SP600 256GB,2014,238.5,2791.0,1,221.0
6,ADATA S396 30GB,2012,29.8,1174.0,1,64.5
7,ADATA S510 120GB,2011,111.8,2359.0,1,153.5
8,ADATA S511 120GB,2011,111.8,2917.0,1,133.6
9,ADATA S511 240GB,2012,223.6,3625.0,1,268.4
10,ADATA S596 Turbo,2010,29.8,956.0,1,250.0
11,ADATA SP310,2014,59.6,1698.0,1,126.0
12,ADATA SP580,2016,111.8,2388.0,1,64.9
13,ADATA SP610,2014,238.5,3173.0,1,178.1
14,ADATA SU630,2019,223.6,3943.0,1,39.93
15,ADATA SU635,2019,223.6,3473.0,1,29.99
16,ADATA SU650,2017,111.8,2845.0,1,37.9
17,ADATA SU650,2017,111.8,2845.0,1,37.9
18,ADATA SU655,2018,111.8,2357.0,1,22.99
19,ADATA SU700,2017,111.8,2409.0,1,22.0
20,ADATA SU750,2019,238.5,4233.0,1,37.99
21,ADATA SU750,2019,238.5,4233.0,1,37.99
22,ADATA SU800 M.2 SSD 256GB,2017,238.5,4384.0,1,37.9
23,ADATA SU800 M.2 SSD 512GB,2017,476.9,4615.0,1,124.9
24,ADATA SU800 SSD 128GB,2017,119.2,3296.0,1,29.9
25,ADATA SU800 SSD 1TB,2017,953.9,4505.0,1,164.09
26,ADATA SU800 SSD 256GB,2016,238.5,3907.0,1,37.9
27,ADATA SU800 SSD 512GB,2016,476.9,4177.0,1,59.9
28,ADATA SU900,2017,238.5,3844.0,1,94.2
29,ADATA SU900,2017,238.5,3844.0,1,94.2
30,ADATA SX300,2013,119.2,3212.0,1,172.2
31,ADATA SX910,2013,119.2,3087.0,1,220.0
32,ADATA SX910 128GB,2012,119.2,3396.0,1,129.9
33,ADATA SX910 512GB,2013,476.9,4750.0,1,129.9
34,ADATA SX930,2015,111.8,3104.0,1,74.2
35,ADATA XM11 256GB,2012,238.5,4465.0,1,415.8
36,ADATA XPG SX300 128GB,2012,119.2,3028.0,1,118.6
37,ADATA XPG SX8000 128GB,2016,119.2,4885.0,1,55.9
38,ADATA XPG SX8000 256GB,2017,238.5,10538.0,1,129.9
39,ADATA XPG SX900 128GB,2012,119.2,2916.0,1,103.5
40,ADATA XPG SX900 256GB,2012,238.5,3918.0,1,1524.3
41,ADATA XPG SX910 128GB,2013,119.2,1959.0,1,104.9
42,addlink S70 M.2 G3x4 1TB,2019,953.9,20676.0,1,124.8
43,KINGSTON SH103S3,20Jan,111.8,3517.0,1,127.8
44,KINGSTON SH103S3240G-NV,20Nov,223.6,3439.0,1,179.9
45,KINGSTON SHFS37A,20Feb,223.6,3376.0,1,65.9
46,KINGSTON SHSS37A,20May,223.6,2674.0,1,70.9
47,KINGSTON SKC100S3120G,20Nov,111.8,2980.0,1,199.9
48,KINGSTON SKC100S3240G,20Nov,223.6,3192.0,1,93.0
49,KINGSTON SKC100S3480G,20Aug,447.1,3032.0,1,94.7
50,KINGSTON SKC380S3120G,20Nov,111.8,2263.0,1,119.9
51,KINGSTON SKC380S360G,20Jan,55.9,1943.0,1,81.7
52,KINGSTON SKC400S371T,20Aug,953.9,3619.0,1,425.7
53,KINGSTON SKC400S37256G,20Jan,238.5,3079.0,1,178.2
54,KINGSTON SMS100S232G,20Feb,29.8,774.0,1,49.4
55,KINGSTON SMS100S264G,20Dec,59.6,1317.0,1,94.9
56,KINGSTON SMS151S324G,20Dec,22.4,1265.0,1,18.9
57,KINGSTON SMS200S3120G,20Jul,111.8,3217.0,1,78.9
58,KINGSTON SMS200S3240G,20Dec,223.6,3424.0,1,119.4
59,KINGSTON SMS200S330G,20Jan,28.0,1706.0,1,42.3
