Name,LatencyNS,Read_Uncached_GBs,Write_GBs,Price
A Force Manufacturing Ltd. 1GX64B160K 8GB,28,12.5,9.3,NA
A Force Manufacturing Ltd. 1GX64V133I 8GB,28,13.4,9.5,NA
A Force Manufacturing Ltd. 1GX64V160K 8GB,25,14,8.9,NA
A Force Manufacturing Ltd. 1GX72B160K 8GB,32,13.8,10.6,NA
A Force Manufacturing Ltd. 1GX72V133I 8GB,32,9.3,7.2,NA
A Force Manufacturing Ltd. 25664Y133I 2GB,27,14.5,8.1,NA
A Force Manufacturing Ltd. 25664Y160K 2GB,70,4.6,3.4,NA
A Force Manufacturing Ltd. 51264V160K 4GB,32,9.2,4.3,NA
A Force Manufacturing Ltd. 51264Y133I 4GB,26,13.3,9.4,NA
A Force Manufacturing Ltd. 51264Y160K 4GB,26,14.9,9.8,NA
A-DATA Technology 10241925 2GB,28,14.1,7.8,NA
A-DATA Technology 10242272 8GB,28,14.1,8.5,NA
A-DATA Technology 10242281 8GB,28,12.1,7.7,NA
A-DATA Technology 10242397 4GB,26,14,8.6,NA
A-DATA Technology 10242398 4GB,70,6.2,3.5,NA
A-DATA Technology 10242646 8GB,29,9,5.1,NA
A-DATA Technology 10281763 4GB,28,12.3,8.2,NA
A-DATA Technology AD63I1B16ZZEU 2GB,67,6.7,5.3,NA
A-DATA Technology AD63I1B0823EV 2GB,26,13.1,7.6,NA
A-DATA Technology AD63I1B0823EZD 2GB,26,13.9,7.5,NA
A-DATA Technology AD63I1C08ZZE1 4GB,28,13.4,7.4,NA
A-DATA Technology AD63I1C1624EV 4GB,27,12.8,7.6,NA
A-DATA Technology AD63I1C1624EVS 4GB,31,12.7,6.9,NA
A-DATA Technology AD63I1D1624EVDH 4GB,60,7.4,5.8,NA
A-DATA Technology AD64C1D1624E1B 8GB,26,13.9,9.5,NA
A-DATA Technology AD73I1B1672EG 2GB,26,12.2,8.5,NA
A-DATA Technology AD73I1C1674EV 4GB,29,9.8,6.5,NA
A-DATA Technology AM1L16BC2P1-B1FS 2GB,88,5.3,3.7,NA
A-DATA Technology AM1L16BC4R1-B1GS 4GB,30,11,7.1,NA
A-DATA Technology AM1L16BC4R1-B1HS 4GB,87,5.4,3.8,NA
A-DATA Technology AM1L16BC4R1-B1MS 4GB,30,8.8,4.3,NA
A-DATA Technology AM1L16BC4R1-B1PS 4GB,28,11.7,7.3,NA
A-DATA Technology AM1L16BC8R2-B1NS 8GB,30,12.2,9,NA
A-DATA Technology AM1L16BC8R2-B1QS 8GB,41.2,11.2,7.3,NA
A-DATA Technology AM1L16BC8R2-B1XS 8GB,28,12.6,8.5,NA
A-DATA Technology AM1U16BC4P2-B19B 4GB,84,2.3,2.4,NA
A-DATA Technology AM1U16BC4P2-B19C 4GB,42,5.7,6,NA
A-DATA Technology AM1U16BC4P2-B19H 4GB,27,11.2,8.4,NA
A-DATA Technology AM2L16BC4R1-B0AS 4GB,27,13.4,7.8,NA
A-DATA Technology AM2L16BC4R1-B0CS 4GB,26,9.8,4.6,NA
A-DATA Technology AM2L16BC4R1-B0PS 4GB,25,15.7,9,NA
A-DATA Technology AM2L16BC4R1-B0WS 4GB,26,14.1,9.5,NA
A-DATA Technology AM2L16BC8R2-B0BS 8GB,24,11.2,5.4,NA
A-DATA Technology AM2L16BC8R2-B0QS 8GB,26,10.9,7.7,NA
A-DATA Technology AM2L16BC8R2-B0XS 8GB,25,13,7.2,NA
A-DATA Technology AM2L16BC8R2-B06S 8GB,26,12,7.6,NA
A-DATA Technology AM2U16BC4P2-B01S 4GB,23,15.6,9.9,NA
A-DATA Technology AM2U16BC4P2-B05B 4GB,26,14,9.1,NA
A-DATA Technology AM2U16BC4P2-B05J 4GB,25,13.8,9.9,NA
A-DATA Technology AM2U16BC4P2-B05S 4GB,67,6,4.5,NA
A-DATA Technology AM2U16BC8R2-B06S 8GB,28,11.2,10.5,NA
A-DATA Technology AM2U139C2P1-B00S 2GB,27,12,9.9,NA
A-DATA Technology AM2U139C4P2-B01S 4GB,26,13.2,8.3,NA
A-DATA Technology AM2U139C4P2-B05S 4GB,26,13.9,8.3,NA
A-DATA Technology AM2U139C4P2-B07S 4GB,26,14,8.2,NA
A-DATA Technology AM2U139C4P2-S01S 4GB,25,13.1,8.5,NA
A-DATA Technology AM2U139C4P284V 4GB,24,9.6,4.5,NA
A-DATA Technology AO1L16BC4R1-BQ7S 4GB,31,11.4,7.7,NA
A-DATA Technology AO2L16BC4R1-BR1S 4GB,25,12.3,7.1,NA
A-DATA Technology AO2L16BC8R2-BR2S 8GB,36.66666667,13.7,9.1,NA
A-DATA Technology AO2L16BC8R2-BTES 8GB,32,16.1,10.5,NA
A-DATA Technology D63I1B16 2GB,27,14.5,8.4,NA
A-DATA Technology DDR3 1333+ 2GB,71,6.8,5.3,NA
A-DATA Technology DDR3 1333G 2GB,32,11.2,6.4,NA
A-DATA Technology DDR3 1600 2OZ 4GB,27,14.1,8.6,NA
A-DATA Technology DDR3 1600 4GB,38,13.6,8,NA
A-DATA Technology DDR3 1600+ 2GB,24,12,6.2,NA
A-DATA Technology DDR3 1600G 2OZ 2GB,26,14.2,8.9,NA
A-DATA Technology DDR3 1600G 4GB,24,14.3,9.3,NA
A-DATA Technology DDR3 1600X 2GB,65,6.4,5,NA
A-DATA Technology DDR3 1866 2OZ 4GB,21,17.8,10,NA
A-DATA Technology DDR3 1866 8GB,35.66666667,14.9,9.1,NA
A-DATA Technology DDR3 1866G 2OZ 4GB,22,15.6,10.8,NA
A-DATA Technology DDR3 2000G 2GB,25,13.5,10.4,NA
A-DATA Technology DDR3 2000G 2OZ 4GB,23,15.4,9.8,NA
A-DATA Technology DDR3 2000X 2GB,23,14.2,9.7,NA
A-DATA Technology DDR3 2133 2OZ 4GB,25,15,9.9,NA
A-DATA Technology DDR3 2133 4GB,22,14.5,9.5,NA
A-DATA Technology DDR3 2133X 8GB,24,14.3,10.7,NA
A-DATA Technology DDR3 2400 2OZ 8GB,22,16.3,11.1,NA
A-DATA Technology DDR3 2400G 2OZ 8GB,23,15.6,10.8,NA
A-DATA Technology DDR3 2400G 4GB,69,6.9,4.3,NA
