name,Popularity,,Price
G Skill Intl F3-12800CL9-4GBRL 4GB,,0.40%,22.99*
G Skill Intl F3-12800CL10-8GBXL 8GB,,0.40%,38.99*
Corsair CMZ16GX3M2A1600C9 8GB,,0.20%,106.99*
Corsair CMZ16GX3M4A1600C9 4GB,,0.50%,109.99*
Corsair CMW16GX4M2C3200C16 8GB,,0.20%,114.99*
Corsair CMK32GX4M2A2666C16 16GB,,0.20%,129.99*
Corsair CMY16GX3M2A1866C9 8GB,,0.30%,139.98*
Micron Technology 8JTF51264AZ-1G6E1 4GB,,0.20%,14.08*
Corsair CMU16GX4M2C3000C15 8GB,,0.20%,159.63*
Samsung M471A2K43BB1-CPB 16GB,,0.20%,164.99*
Corsair CMK32GX4M2B3000C15 16GB,,0.20%,169.99*
Corsair CMK32GX4M2B3200C16 16GB,,0.30%,179.99*
Corsair CM2X2048-6400C5 2GB,,0.50%,18.99*
Corsair CMU16GX4M2C3200C16 8GB,,0.20%,199.99*
G Skill Intl F3-12800CL9-4GBXL 4GB,,0.90%,24.99*
Corsair CMZ4GX3M1A1600C9 4GB,,0.20%,24.99*
Corsair CMY16GX3M2A2400C11 8GB,,0.60%,259.00*
Samsung M471B5173DB0-YK0 4GB,,0.20%,27.54*
G Skill Intl F3-14900CL9-4GBXL 4GB,,0.20%,29.99*
Corsair CML16GX3M4A1600C9 4GB,,0.20%,299.99*
Samsung M471A2K43CB1-CTD 16GB,,0.20%,30.99*
Crucial Technology BLS4G3D1609DS1S00. 4GB,,0.70%,34.99*
Samsung M471A1K43CB1-CTD 8GB,,0.40%,35.51*
Samsung M471B5173QH0-YK0 4GB,,0.30%,40.00*
Samsung M471A1K43CB1-CRC 8GB,,0.50%,40.49*
G Skill Intl F3-14900CL10-8GBXL 8GB,,0.20%,41.99*
Corsair CMZ8GX3M1A1600C10 8GB,,0.30%,42.61*
G Skill Intl F2-8500CL5-2GBPK 2GB,,0.20%,44.99*
Samsung M471A1G43DB0-CPB 8GB,,0.40%,45.00*
Corsair CMZ8GX3M2A1600C9 4GB,,1.70%,48.99*
Samsung M471B1G73DB0-YK0 8GB,,0.70%,49.99*
Crucial Technology CT102464BA160B.C16 8GB,,0.20%,50.39*
Corsair CMX8GX3M2A1600C9 4GB,,0.30%,52.49*
Samsung M471A2K43CB1-CRC 16GB,,0.20%,60.00*
Corsair CML8GX3M2A1600C9 4GB,,0.70%,61.04*
Corsair CMK16GX4M2A2133C13 8GB,,0.30%,67.99*
Corsair CMK16GX4M2A2400C16 8GB,,0.20%,67.99*
Samsung M378B1G73DB0-CK0 8GB,,0.20%,68.75*
Corsair CMK16GX4M2A2666C16 8GB,,0.40%,69.99*
Corsair CMK16GX4M2A2400C14 8GB,,0.40%,69.99*
Corsair CML16GX3M2A1600C10 8GB,,0.40%,76.00*
Corsair CMZ16GX3M2A1600C10 8GB,,0.70%,76.99*
Corsair CMY16GX3M2A1600C9 8GB,,0.20%,77.99*
Crucial Technology BLT8G3D1608DT1TX0. 8GB,,0.20%,79.89*
Crucial Technology BLS8G3D1609DS1S00. 8GB,,0.90%,79.99*
Corsair CMK16GX4M2B3000C15 8GB,,1.60%,87.99*
Corsair CMZ8GX3M2A1866C9 4GB,,0.30%,89.70*
Corsair CMK16GX4M2B3200C16 8GB,,1.00%,89.99*
Kingston KHX1600C9D3/4GX 4GB,,1.70%,24.97*
Kingston KHX1600C10D3/8G 8GB,,0.90%,47.28*
Kingston KHX1866C10D3/8G 8GB,,0.90%,46.19*
Kingston 2G-UDIMM 2GB,,0.80%,17.91*
G Skill Intl F3-2400C10-8GTX 8GB,,0.70%,84.32*
SK Hynix HMA81GS6AFR8N-UH 8GB,,0.60%,37.99*
Kingston KHX2400C11D3/8GX 8GB,,0.60%,35.99*
Kingston KHX2133C14D4/8G 8GB,,0.60%,35.99*
G Skill Intl F4-3200C16-8GTZR 8GB,,0.50%,50.99*
G Skill Intl F4-3200C16-8GVKB 8GB,,0.50%,67.99*
Samsung M471B1G73QH0-YK0 8GB,,0.50%,34.88*
G Skill Intl F4-2400C15-8GVR 8GB,,0.40%,36.99*
Hynix Semiconductor (Hyundai Electronics) HMA41GS6AFR8N-TF 8GB,,0.40%,35.99*
Kingston KHX1600C10D3/8GX 8GB,,0.50%,46.19*
Kingston KHX2666C15D4/8G 8GB,,0.40%,35.99*
G Skill Intl F3-1600C9-8GXM 8GB,,0.40%,48.99*
Kingston KHX2400C11D3/4GX 4GB,,0.40%,15.99*
Hynix Semiconductor (Hyundai Electronics) HMT41GS6AFR8A-PB 8GB,,0.40%,67.99*
Kingston KHX2400C15/8G 8GB,,0.30%,35.99*
Kingston KHX2133C14/8G 8GB,,0.30%,35.99*
SK Hynix HMA41GS6AFR8N-TF 8GB,,0.30%,35.83*
G Skill Intl F4-3200C16-16GVK 16GB,,0.30%,59.99*
G Skill Intl F3-2400C10-4GTX 4GB,,0.30%,25.99*
Kingston KHX1600C9D3/8GX 8GB,,0.30%,45.63*
G Skill Intl F4-3200C16-8GTZB 8GB,,0.20%,42.35*
Kingston KHX2133C14D4/4G 4GB,,0.20%,23.99*
Kingston KHX2400C15D4/8G 8GB,,0.20%,36.99*
SK Hynix HMA81GS6CJR8N-VK 8GB,,0.20%,35.95*
G Skill Intl F3-14900CL9-4GBSR 4GB,,0.30%,21.99*
Kingston MSI24D4S7S8MB-8 8GB,,0.20%,37.59*
G Skill Intl F3-17000CL11-4GBXL 4GB,,0.20%,25.99*
SK Hynix HMT41GS6BFR8A-PB 8GB,,0.20%,30.99*
Kingston KHX3000C15D4/8GX 8GB,,0.20%,46.54*
G Skill Intl F4-3000C16-8GTZR 8GB,,0.20%,42.50*
Kingston KHX2133C11D3/8GX 8GB,,0.20%,41.99*
A-DATA Technology DDR4 2400 2OZ 8GB,,0.20%,35.99*
SK Hynix HMA82GS6AFR8N-UH 16GB,,0.20%,67.00*
Micron Technology 16KTF1G64HZ-1G6E1 8GB,,0.20%,50.00*
Kingston KHX2666C16/8G 8GB,,0.20%,36.99*
Kingston KHX3200C16D4/8GX 8GB,,0.20%,24.95*
Samsung M378B5173DB0-CK0 4GB,,0.20%,18.99*
Hynix Semiconductor (Hyundai Electronics) HYMP125U64CP8-S6 2GB,,0.20%,27.22*
