Videocard_Name,Price1,G3D_Mark,Videocard_Value2,G2D_Mark,TDP,Power_Perf,Test_Date5,Category 
GeForce RTX 2080 Ti,"$1,149.99 ",21579,18.76,944,250,86.32,18-Sep,Desktop
GeForce RTX 2080 SUPER,$709.99 ,19186,27.02,913,250,76.74,19-Jul,Desktop
TITAN V,"$2,149.99*",18793,8.74,991,250,75.17,17-Dec,Desktop
GeForce RTX 2080,$609.99 ,18782,30.79,924,250,75.13,18-Sep,Desktop
TITAN RTX,"$2,499.99 ",18502,7.4,849,280,66.08,18-Dec,Workstation
Quadro RTX 8000,"$4,741.49*",18467,3.89,924,260,71.03,19-Mar,Workstation
Quadro RTX 6000,"$6,300.00*",18351,2.91,790,295,62.21,18-Nov,Workstation
GeForce RTX 2070 SUPER,$509.99 ,18120,35.53,896,215,84.28,19-Jul,Desktop
NVIDIA TITAN Xp,"$1,398.68*",17934,12.82,883,250,71.74,17-Apr,Desktop
TITAN Xp COLLECTORS EDITION,NA,17424,NA,977,250,69.7,17-Dec,Desktop
GeForce GTX 1080 Ti,$800.08*,17283,21.6,913,250,69.13,17-Mar,Desktop
Radeon VII,$599.99*,17209,28.68,828,300,57.36,19-Feb,Desktop
Quadro RTX 5000,NA,17197,NA,832,230,74.77,19-Jan,Workstation
TITAN V CEO Edition,NA,16988,NA,1086,250,67.95,18-Oct,Desktop
Radeon RX 5700 XT 50th Anniversary,NA,16781,NA,956,235,71.41,19-Jul,Desktop
Radeon RX 5700 XT,$379.99 ,16692,43.93,934,225,74.18,19-Jul,Desktop
GeForce RTX 2060 SUPER,$369.99 ,16308,44.08,854,175,93.19,19-Jul,Desktop
GeForce RTX 2070,$399.99 ,16262,40.66,864,175,92.93,18-Oct,Desktop
Quadro RTX 4000,$899.00*,15850,17.63,972,160,99.06,19-Feb,Workstation
GeForce RTX 2080 Super with Max-Q Design,NA,15736,NA,579,80,196.7,20-Apr,Mobile
GeForce RTX 2070 Super with Max-Q Design,NA,15701,NA,769,NA,NA,20-Apr,Unknown
Quadro P6000,"$2,749.99*",15557,5.66,888,250,62.23,16-Oct,Workstation
GeForce RTX 2080 (Mobile),NA,15098,NA,817,150,100.65,19-Apr,Mobile
Radeon RX Vega 64,$389.99*,14767,37.86,789,295,50.06,17-Sep,Desktop
GeForce RTX 2060,$279.99 ,14703,52.51,818,160,91.9,19-Jan,Desktop
GeForce GTX 1080,$669.99*,14664,21.89,861,180,81.46,16-May,Desktop
GeForce RTX 2080 with Max-Q Design,"$2,099.99*",14366,6.84,571,90,159.62,19-Feb,Mobile
Radeon RX 5700,$329.99 ,14142,42.86,858,180,78.57,19-Jul,Desktop
Radeon Pro W5700,$799.99 ,13957,17.45,838,205,68.08,20-Jan,Desktop
GeForce GTX 1070 Ti,$503.25 ,13944,27.71,826,180,77.47,17-Nov,Desktop
Radeon Pro WX 8200,$969.99 ,13840,14.27,770,230,60.17,18-Aug,Desktop
NVIDIA TITAN X,$608.10*,13660,22.46,912,250,54.64,16-Aug,Desktop
GeForce GTX 980 Ti,$309.20*,13647,44.14,802,250,54.59,15-Jun,Desktop
Radeon Vega Frontier Edition,$890.00*,13588,15.27,803,350,38.82,17-Jun,Desktop
Quadro RTX 5000 (Mobile),NA,13430,NA,655,110,122.09,19-Jul,"Mobile, Workstation"
GeForce GTX 1070,$245.91*,13309,54.12,830,150,88.73,16-Jun,Desktop
Radeon RX Vega 56,$259.99 ,13225,50.87,764,210,62.98,17-Sep,Desktop
GeForce RTX 2070 (Mobile),NA,13066,NA,612,115,113.62,19-Apr,Mobile
Radeon RX 5600 XT,$269.99 ,12913,47.83,861,150,86.09,20-Jan,Desktop
GeForce GTX 1660 Ti,$279.99 ,12783,45.65,810,120,106.52,19-Feb,Desktop
Quadro GV100,"$8,999.00*",12721,1.41,802,250,50.88,18-Mar,Workstation
GeForce GTX 1660 SUPER,$229.98 ,12704,55.24,804,125,101.63,19-Nov,Desktop
Quadro GP100,NA,12663,NA,852,235,53.88,17-Apr,Workstation
GeForce GTX TITAN X,$599.99*,12645,21.08,757,250,50.58,15-Mar,Desktop
GeForce RTX 2070 with Max-Q Design,NA,12343,NA,555,80,154.29,19-Feb,Mobile
Quadro M6000 24GB,NA,12244,NA,924,250,48.98,16-Jul,Workstation
Quadro P5000,"$1,714.37 ",12222,7.13,755,180,67.9,16-Nov,Workstation
Radeon Pro Vega 56,NA,12209,NA,826,NA,NA,18-Mar,Desktop
Quadro P4200,NA,12019,NA,802,100,120.19,18-Jul,Workstation
Quadro P4200 with Max-Q Design,NA,11940,NA,694,NA,NA,18-Oct,Workstation
Radeon Pro Vega II,NA,11919,NA,768,NA,NA,20-Feb,Unknown
Radeon Pro Vega 48,NA,11872,NA,901,NA,NA,19-Aug,Unknown
Quadro M6000,"$1,054.03*",11816,11.21,748,250,47.26,15-Jan,Workstation
Radeon Pro WX 9100,NA,11771,NA,807,230,51.18,17-Oct,Desktop
Quadro RTX 5000 with Max-Q Design,NA,11722,NA,412,80,146.53,19-Sep,"Mobile, Workstation"
Radeon Pro Vega 64,NA,11456,NA,708,NA,NA,18-Jan,Unknown
GeForce RTX 2060 (Mobile),NA,11384,NA,549,80,142.3,19-Apr,Mobile
GeForce GTX 1660,$214.99 ,11354,52.81,762,120,94.62,19-Mar,Desktop
Radeon RX5600,NA,11251,NA,940,NA,NA,20-Apr,Unknown
Quadro RTX 3000,NA,11203,NA,542,80,140.04,19-Jul,"Mobile, Workstation"
Quadro P4000,$789.99 ,11194,14.17,756,105,106.61,17-Mar,Workstation
Quadro RTX 4000 with Max-Q Design,NA,11186,NA,832,80,139.82,19-Nov,Mobile
GeForce GTX 1080 with Max-Q Design,NA,11058,NA,701,110,100.52,17-Jul,Mobile
GeForce GTX 980,$223.10*,10955,49.1,740,165,66.39,14-Sep,Desktop
GeForce GTX 1070 with Max-Q Design,NA,10599,NA,495,90,117.77,17-Jul,Mobile
GeForce GTX 1070 (Mobile),NA,10583,NA,601,NA,NA,19-Apr,Mobile
Radeon Pro SSG,NA,10498,NA,601,NA,NA,18-Sep,Unknown
Radeon Instinct MI25 MxGPU,NA,10466,NA,727,NA,NA,20-Jan,Unknown
GeForce GTX 1060,$302.24*,10230,33.85,763,120,85.25,16-Jul,Desktop
GeForce GTX 1660 Ti (Mobile),NA,10211,NA,499,50,204.22,19-May,Mobile
Radeon R9 Fury,$443.10*,10004,22.58,836,NA,NA,15-Jul,Unknown
GeForce GTX 1650 SUPER,$159.98 ,9936,62.11,743,100,99.36,19-Nov,Desktop
GeForce RTX 2060 with Max-Q Design,NA,9810,NA,474,65,150.93,20-Apr,Mobile
Quadro P5200 with Max-Q Design,NA,9796,NA,702,NA,NA,18-Oct,Unknown
Radeon R9 390X,NA,9674,NA,834,275,35.18,16-Apr,Desktop
