128GB PCIe Drive,119.2 GB,"8,050",1,637,NA,NA,17-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=128GB+PCIe+Drive&id=14819#price
128GB SA TA FLASH DRI,119.2 GB,"1,039",1,4930,NA,NA,17-Nov,HDD,https://www.harddrivebenchmark.net/hdd.php?hdd=128GB+SA+TA+FLASH+DRI&id=14889#price
2-Power SSD2041A 120GB,111.8 GB,"3,605",3,1969,NA,NA,16-Apr,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=2-Power+SSD2041A+120GB&id=11806#price
2-Power SSD2042A 240GB,223.6 GB,"2,991",10,2958,NA,NA,16-Dec,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=2-Power+SSD2042A+240GB&id=13428#price
2-Power SSD2042B 256GB,238.5 GB,"2,321",1,3852,NA,NA,19-Mar,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=2-Power+SSD2042B+256GB&id=23262#price
2-Power SSD2043B 512GB,476.9 GB,"4,553",1,936,NA,NA,19-Jan,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=2-Power+SSD2043B+512GB&id=22717#price
2.5 SSD-III 32GB,29.8 GB,"1,274",1,4682,NA,NA,17-Mar,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=2.5+SSD-III+32GB&id=13908#price
240GB Sata II SSD,223.6 GB,"1,098",1,4876,NA,NA,16-Mar,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=240GB+Sata+II+SSD&id=11674#price
240GB SS,223.6 GB,"3,557",1,2056,NA,NA,18-Jul,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=240GB+SS&id=16214#price
240GB SS D,223.6 GB,"2,662",1,3437,NA,NA,17-Jul,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=240GB+SS+D&id=14457#price
256GB-7mm,223.6 GB,"3,977",1,1435,NA,NA,15-Dec,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=256GB-7mm&id=10966#price
32GB NANDrive,29.8 GB,254,1,7239,NA,NA,14-May,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=32GB+NANDrive&id=7345#price
32GB SSD,29.9 GB,"1,115",1,4854,NA,NA,16-Jun,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=32GB+SSD&id=12243#price
3Q SSD S 220-64GB,55.9 GB,"1,835",1,4248,NA,NA,13-Mar,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=3Q+SSD+S+220-64GB&id=4122#price
3Q SSD S220-128GB,111.8 GB,"2,156",1,4018,NA,NA,17-Jan,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=3Q+SSD+S220-128GB&id=13651#price
3Q SSD S220-64GB,55.9 GB,"1,816",1,4262,NA,NA,13-Jan,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=3Q+SSD+S220-64GB&id=3600#price
480GB SSD,447.1 GB,"3,625",2,1933,NA,NA,19-Nov,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=480GB+SSD&id=24895#price
500GB-PRO-X-SS,465.8 GB,"11,553",4,411,NA,NA,19-Jun,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=500GB-PRO-X-SS&id=23734#price
512GB NVMe SSD,476.9 GB,"16,028",4,222,NA,NA,19-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=512GB+NVMe+SSD&id=24670#price
512GB SSD,476.9 GB,"3,660",3,1882,NA,NA,19-Dec,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=512GB+SSD&id=25165#price
60GB SSD,55.9 GB,"1,591",1,4425,NA,NA,20-Feb,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=60GB+SSD&id=25610#price
640GB High IOPS MLC Adapter for IBM System x,596 GB,"5,972",1,737,NA,NA,18-Jun,HDD,https://www.harddrivebenchmark.net/hdd.php?hdd=640GB+High+IOPS+MLC+Adapter+for+IBM+System+x&id=16002#price
64GB HG SSD,59.6 GB,"1,199",3,4765,NA,NA,17-Nov,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=64GB+HG+SSD&id=14956#price
64GB PCIe Drive,59.6 GB,"4,500",2,960,NA,NA,19-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=64GB+PCIe+Drive&id=24691#price
700p SSDPEBKW512G8 NVMe INTEL 512GB,476.9 GB,"14,320",1,275,NA,NA,19-Jul,HDD,https://www.harddrivebenchmark.net/hdd.php?hdd=700p+SSDPEBKW512G8+NVMe+INTEL+512GB&id=24001#price
80GB SSD,74.5 GB,"1,372",3,4589,NA,NA,17-Dec,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=80GB+SSD&id=15045#price
