,name,year,process,noCores,noThreads,baseFreq,CacheVal,maxMem,MemType,MemType_class,MemChannels,PCI_express,HyperTh,virtualTh,intel64,TDP,price,CPUMark,ThreadMark
0,230,2008,45,1,1,1.6,512.0,1,DDR3,1,1,1,1,0,1,4.0,29.0,324.0,257.0
1,C2338,2013,22,2,2,1.7,1.0,16.0,DDR3,1,1,8,0,1,1,7.0,60.0,898.0,359.0
2,C2358,2013,22,2,2,1.7,1.0,16.0,DDR3,1,1,8,0,1,1,7.0,60.0,961.0,448.0
3,C2538,2013,22,4,4,2.4,2.0,64.0,DDR3,1,2,16,0,1,1,15.0,104.0,2086.0,558.0
4,C2550,2013,22,4,4,2.4,2.0,64.0,DDR3,1,2,16,0,1,0,14.0,86.0,2048.0,574.0
5,C2558,2013,22,4,4,2.4,2.0,64.0,DDR3,1,2,16,0,1,1,15.0,104.0,2169.0,551.0
6,C2750,2013,22,8,8,2.4,4.0,64.0,DDR3,1,2,16,0,1,0,20.0,171.0,3694.0,588.0
7,C2750,2013,22,8,8,2.4,4.0,64.0,DDR3,1,2,16,0,1,0,20.0,171.0,3694.0,588.0
8,C2758,2013,22,8,8,2.4,4.0,64.0,DDR3,1,2,16,0,1,1,20.0,208.0,3163.0,513.0
9,C3538,2017,14,4,4,2.1,8.0,256.0,DDR4,2,2,12,0,1,0,15.0,75.0,2455.0,831.0
10,C3558,2017,14,4,4,2.2,8.0,256.0,DDR4,2,2,12,0,1,0,16.0,86.0,2539.0,876.0
11,C3758,2017,14,8,8,2.2,16.0,256.0,DDR4,2,2,16,0,1,0,25.0,193.0,4675.0,857.0
12,C3858,2017,14,12,12,2.0,12.0,256.0,DDR4,2,2,16,0,1,0,25.0,332.0,4853.0,771.0
13,C3958,2017,14,16,16,2.0,16.0,256.0,DDR4,2,2,16,0,1,0,31.0,449.0,6586.0,791.0
14,D2500,2011,32,2,2,1.86,1.0,4.0,DDR3,1,1,4,0,0,1,10.0,42.0,441.0,319.0
15,D2550,2012,32,2,4,1.86,1.0,4.0,DDR3,1,1,4,1,0,1,10.0,47.0,737.0,326.0
16,D410,2010,45,1,2,1.66,512.0,4.0,DDR2,0,1,1,1,0,1,10.0,43.0,278.0,240.0
17,D425,2010,45,1,2,1.8,512.0,4.0,DDR3,1,1,1,1,0,1,10.0,42.0,380.0,303.0
18,D510,2010,45,2,4,1.66,1.0,4.0,DDR2,0,1,1,1,0,1,13.0,63.0,658.0,271.0
19,D525,2010,45,2,4,1.8,1.0,4.0,DDR3,1,1,1,1,0,1,13.0,63.0,571.0,302.0
20,E3815,2013,22,1,1,1.46,512.0,8.0,DDR3,1,1,4,0,1,1,5.0,31.0,109.0,183.0
21,E3825,2013,22,2,2,1.33,1.0,8.0,DDR3,1,1,4,0,1,1,6.0,34.0,399.0,357.0
22,E3826,2013,22,2,2,1.46,1.0,8.0,DDR3,1,2,4,0,1,1,7.0,37.0,323.0,389.0
23,E3827,2013,22,2,2,1.75,1.0,8.0,DDR3,1,2,4,0,1,1,8.0,41.0,534.0,463.0
24,E3845,2013,22,4,4,1.91,2.0,8.0,DDR3,1,2,4,0,1,1,10.0,52.0,993.0,514.0
25,N2600,2011,32,2,4,1.6,1.0,2.44,DDR3,1,1,1,1,0,1,3.5,42.0,531.0,269.0
26,N270,2008,45,1,1,1.6,512.0,1,DDR3,1,1,1,1,0,0,2.5,32.0,269.0,252.0
27,N2800,2011,32,2,4,1.86,1.0,4.88,DDR3,1,1,1,1,0,1,6.5,47.0,633.0,320.0
28,N450,2010,45,1,2,1.66,512.0,2.0,DDR2,0,1,1,1,0,1,5.5,64.0,303.0,255.0
29,N455,2010,45,1,2,1.66,512.0,2.0,DDR2,0,1,1,1,0,1,6.5,64.0,277.0,244.0
30,x5-Z8300,2015,14,4,4,1.44,2.0,2.0,DDR3,1,1,1,0,1,1,4.0,21.0,801.0,463.0
31,x5-Z8350,2016,14,4,4,1.44,2.0,2.0,DDR3,1,1,1,0,1,1,4.0,21.0,876.0,477.0
32,x5-Z8500,2015,14,4,4,1.44,2.0,8.0,DDR3,1,2,2,0,1,1,4.0,27.0,1143.0,612.0
33,x5-Z8550,2016,14,4,4,1.44,2.0,8.0,DDR3,1,2,2,0,1,1,4.0,27.0,1143.0,664.0
34,x7-Z8700,2015,14,4,4,1.6,2.0,8.0,DDR3,1,2,2,0,1,1,4.0,37.0,1316.0,658.0
35,x7-Z8750,2016,14,4,4,1.6,2.0,8.0,DDR3,1,2,2,0,1,1,4.0,37.0,1370.0,704.0
36,Z3735E,2014,22,4,4,1.33,2.0,1.0,DDR3,1,1,1,0,1,1,4.4,21.0,563.0,490.0
37,Z3735F,2014,22,4,4,1.33,2.0,2.0,DDR3,1,1,1,0,1,1,4.4,18.0,531.0,395.0
38,Z3735G,2014,22,4,4,1.33,2.0,1.0,DDR3,1,1,1,0,1,1,4.4,17.0,547.0,462.0
39,Z3736F,2014,22,4,4,1.33,2.0,2.0,DDR3,1,1,1,0,1,1,4.4,20.0,513.0,422.0
40,Z3745,2014,22,4,4,1.33,2.0,4.0,DDR3,1,2,1,0,1,1,4.0,30.0,619.0,445.0
41,Z3770D,2013,22,4,4,1.5,2.0,2.0,DDR3,1,1,1,0,1,1,4.4,37.0,506.0,349.0
42,Z3775,2014,22,4,4,1.46,2.0,4.0,DDR3,1,2,1,0,1,1,4.0,35.0,752.0,551.0
43,Z3795,2014,22,4,4,1.59,2.0,4.0,DDR3,1,2,1,0,1,1,4.0,40.0,1172.0,645.0
44,Z530,2008,45,1,1,1.6,512.0,1,DDR3,1,1,1,1,1,0,2.0,65.0,281.0,248.0
45,1000M,2013,22,2,2,1.8,2.0,32.0,DDR3,1,2,1,0,1,1,35.0,75.0,1003.0,973.0
