,name,year,process,noCores,noThreads,baseFreq,CacheVal,maxMem,MemType,MemType_class,MemChannels,PCI_express,HyperTh,virtualTh,intel64,TDP,price,CPUMark,ThreadMark
0,Intel 230,2008,45,1,1,1.6,512,1,DDR3,1,1,1,1,0,1,4,29,324,257
1,Intel C2338,2013,22,2,2,1.7,1,16,DDR3,1,1,8,0,1,1,7,60,898,359
2,Intel C2358,2013,22,2,2,1.7,1,16,DDR3,1,1,8,0,1,1,7,60,961,448
3,Intel C2538,2013,22,4,4,2.4,2,64,DDR3,1,2,16,0,1,1,15,104,2086,558
4,Intel C2550,2013,22,4,4,2.4,2,64,DDR3,1,2,16,0,1,0,14,86,2048,574
5,Intel C2558,2013,22,4,4,2.4,2,64,DDR3,1,2,16,0,1,1,15,104,2169,551
6,Intel C2750,2013,22,8,8,2.4,4,64,DDR3,1,2,16,0,1,0,20,171,3694,588
7,Intel C2750,2013,22,8,8,2.4,4,64,DDR3,1,2,16,0,1,0,20,171,3694,588
8,Intel C2758,2013,22,8,8,2.4,4,64,DDR3,1,2,16,0,1,1,20,208,3163,513
9,Intel C3538,2017,14,4,4,2.1,8,256,DDR4,2,2,12,0,1,0,15,75,2455,831
10,Intel C3558,2017,14,4,4,2.2,8,256,DDR4,2,2,12,0,1,0,16,86,2539,876
11,Intel C3758,2017,14,8,8,2.2,16,256,DDR4,2,2,16,0,1,0,25,193,4675,857
12,Intel C3858,2017,14,12,12,2,12,256,DDR4,2,2,16,0,1,0,25,332,4853,771
13,Intel C3958,2017,14,16,16,2,16,256,DDR4,2,2,16,0,1,0,31,449,6586,791
14,Intel D2500,2011,32,2,2,1.86,1,4,DDR3,1,1,4,0,0,1,10,42,441,319
15,Intel D2550,2012,32,2,4,1.86,1,4,DDR3,1,1,4,1,0,1,10,47,737,326
16,Intel D410,2010,45,1,2,1.66,512,4,DDR2,0,1,1,1,0,1,10,43,278,240
17,Intel D425,2010,45,1,2,1.8,512,4,DDR3,1,1,1,1,0,1,10,42,380,303
18,Intel D510,2010,45,2,4,1.66,1,4,DDR2,0,1,1,1,0,1,13,63,658,271
19,Intel D525,2010,45,2,4,1.8,1,4,DDR3,1,1,1,1,0,1,13,63,571,302
20,Intel E3815,2013,22,1,1,1.46,512,8,DDR3,1,1,4,0,1,1,5,31,109,183
21,Intel E3825,2013,22,2,2,1.33,1,8,DDR3,1,1,4,0,1,1,6,34,399,357
22,Intel E3826,2013,22,2,2,1.46,1,8,DDR3,1,2,4,0,1,1,7,37,323,389
23,Intel E3827,2013,22,2,2,1.75,1,8,DDR3,1,2,4,0,1,1,8,41,534,463
24,Intel E3845,2013,22,4,4,1.91,2,8,DDR3,1,2,4,0,1,1,10,52,993,514
25,Intel N2600,2011,32,2,4,1.6,1,2.44,DDR3,1,1,1,1,0,1,3.5,42,531,269
26,Intel N270,2008,45,1,1,1.6,512,1,DDR3,1,1,1,1,0,0,2.5,32,269,252
27,Intel N2800,2011,32,2,4,1.86,1,4.88,DDR3,1,1,1,1,0,1,6.5,47,633,320
28,Intel N450,2010,45,1,2,1.66,512,2,DDR2,0,1,1,1,0,1,5.5,64,303,255
29,Intel N455,2010,45,1,2,1.66,512,2,DDR2,0,1,1,1,0,1,6.5,64,277,244
30,Intel x5-Z8300,2015,14,4,4,1.44,2,2,DDR3,1,1,1,0,1,1,4,21,801,463
31,Intel x5-Z8350,2016,14,4,4,1.44,2,2,DDR3,1,1,1,0,1,1,4,21,876,477
32,Intel x5-Z8500,2015,14,4,4,1.44,2,8,DDR3,1,2,2,0,1,1,4,27,1143,612
33,Intel x5-Z8550,2016,14,4,4,1.44,2,8,DDR3,1,2,2,0,1,1,4,27,1143,664
34,Intel x7-Z8700,2015,14,4,4,1.6,2,8,DDR3,1,2,2,0,1,1,4,37,1316,658
35,Intel x7-Z8750,2016,14,4,4,1.6,2,8,DDR3,1,2,2,0,1,1,4,37,1370,704
36,Intel Z3735E,2014,22,4,4,1.33,2,1,DDR3,1,1,1,0,1,1,4.4,21,563,490
37,Intel Z3735F,2014,22,4,4,1.33,2,2,DDR3,1,1,1,0,1,1,4.4,18,531,395
38,Intel Z3735G,2014,22,4,4,1.33,2,1,DDR3,1,1,1,0,1,1,4.4,17,547,462
39,Intel Z3736F,2014,22,4,4,1.33,2,2,DDR3,1,1,1,0,1,1,4.4,20,513,422
40,Intel Z3745,2014,22,4,4,1.33,2,4,DDR3,1,2,1,0,1,1,4,30,619,445
41,Intel Z3770D,2013,22,4,4,1.5,2,2,DDR3,1,1,1,0,1,1,4.4,37,506,349
42,Intel Z3775,2014,22,4,4,1.46,2,4,DDR3,1,2,1,0,1,1,4,35,752,551
43,Intel Z3795,2014,22,4,4,1.59,2,4,DDR3,1,2,1,0,1,1,4,40,1172,645
44,Intel Z530,2008,45,1,1,1.6,512,1,DDR3,1,1,1,1,1,0,2,65,281,248
45,Intel 1000M,2013,22,2,2,1.8,2,32,DDR3,1,2,1,0,1,1,35,75,1003,973
46,Intel 1005M,2013,22,2,2,1.9,2,32,DDR3,1,2,1,0,1,1,35,75,1087,1026
47,Intel 1007U,2013,22,2,2,1.5,2,32,DDR3,1,2,1,0,1,1,17,75,645,648
48,Intel 1017U,2013,22,2,2,1.6,2,32,DDR3,1,2,1,0,1,1,17,75,963,873
49,Intel 1020E,2013,22,2,2,2.2,2,16,DDR3,1,2,1,0,1,1,35,76,1401,1222
50,Intel 1020M,2013,22,2,2,2.1,2,32,DDR3,1,2,1,0,1,1,35,75,1270,1175
51,Intel 1047UE,2013,22,2,2,1.4,2,16,DDR3,1,2,1,0,1,1,17,119,746,525
52,Intel 2000E,2014,22,2,2,2.2,2,32,DDR3,1,2,16,0,1,1,37,86,1628,1292
53,Intel 2002E,2014,22,2,2,1.5,2,32,DDR3,1,2,16,0,1,1,25,86,1105,878
54,Intel 2950M,2013,22,2,2,2,2,32,DDR3,1,2,16,0,1,1,37,75,1299,1116
