,name,year,TDP,Price,CPU_Mark,Thread_Mark
937,AMD Ryzen 3 4300U,2020,15,87.99,8148,2507
938,AMD Ryzen Embedded R1606G,2020,15,0,4317,1955
939,AMD Ryzen Embedded V1404I,2020,15,0,5445,1916
940,AMD Ryzen Threadripper 3990X,2020,280,3449.99,80966,2513
941,AMD Ryzen 7 4800H,2020,45,1249,19207,2653
942,AMD Ryzen 5 3400GE,2020,35,167,8565,2312
943,AMD Ryzen 5 4500U,2020,15,0,11452,2512
944,AMD Ryzen 7 4700U,2020,15,0,14012,2580
945,AMD Ryzen 7 4800HS,2020,-1,0,19244,2671
946,AMD Ryzen 9 4900HS,2020,35,0,19956,2686
947,AMD Athlon Silver 3050U,2020,15,0,3251,1810
948,AMD EPYC 7232P,2020,120,528.29,16365,1238
949,AMD EPYC 7272,2020,120,0,26454,2019
950,AMD EPYC 7702,2020,200,6300,71362,2067
951,AMD Ryzen 3 3100,2020,65,179,12153,2477
952,AMD Ryzen 3 3250U,2020,15,0,4316,1953
953,AMD Ryzen 3 3300X,2020,65,199.99,12904,2711
954,AMD Ryzen 5 4600H,2020,45,0,14933,2509
955,AMD Ryzen 5 4600U,2020,15,0,14565,2519
956,AMD Ryzen 7 4800U,2020,15,0,17786,2697
957,AMD Ryzen 7 PRO 4750U,2020,15,0,16336,2641
869,AMD A8-7680,2019,45,59.9,3581,1638
870,AMD Athlon 240GE,2019,35,84.95,4752,1982
871,AMD E2-9030,2019,-1,0,923,876
872,AMD EPYC 7371,2019,-1,1808.99,22859,2180
873,AMD Ryzen 3 2300X,2019,65,207.1,7828,2364
874,AMD Ryzen 7 2800H,2019,45,0,7432,2101
875,AMD Ryzen 5 2500X,2019,65,0,9690,2358
876,AMD Ryzen 5 3550H,2019,35,0,8096,2082
877,AMD Athlon 220GE,2019,35,79.99,4472,1898
878,AMD EPYC 7351,2019,155,950,21261,1728
879,AMD Opteron X3418 APU,2019,25,0,3020,1407
880,AMD Ryzen 5 2600H,2019,45,0,7317,2063
881,AMD Ryzen 5 3500U,2019,15,0,7182,1991
882,AMD A6-7480,2019,65,43.9,2024,1699
883,AMD EPYC 7301,2019,155,734.92,12085,1228
884,AMD Ryzen 3 3200U,2019,15,0,4233,1948
885,AMD Ryzen 7 3700U,2019,15,0,7406,2034
886,AMD Ryzen 7 PRO 3700U,2019,15,0,7353,2110
887,AMD A6-9220C,2019,6,0,1229,976
888,AMD Opteron 3250 HE,2019,45,99,1905,1010
889,AMD Ryzen 3 PRO 2100GE,2019,35,0,4472,1851
890,AMD Ryzen 3 PRO 3300U,2019,15,0,5977,2011
891,AMD Ryzen 7 3750H,2019,35,0,8497,2168
892,AMD EPYC 3201,2019,30,0,10220,1826
893,AMD Ryzen 5 3600,2019,65,167,17792,2576
894,AMD Athlon 300U,2019,15,0,4023,1874
895,AMD Ryzen 3 3200G,2019,65,89.99,7267,2226
896,AMD Ryzen 3 PRO 3200GE,2019,35,0,7297,2244
897,AMD Ryzen 5 3400G,2019,65,229.99,9424,2385
898,AMD Ryzen 5 3600X,2019,95,204.99,18345,2676
899,AMD Ryzen 5 PRO 3500U,2019,15,0,7543,2095
900,AMD Ryzen 5 PRO 3600,2019,65,0,18205,2656
901,AMD Ryzen 7 3700X,2019,65,274.99,22697,2679
902,AMD Ryzen 7 3800X,2019,105,328.98,23323,2750
903,AMD Ryzen 9 3900X,2019,105,417,32804,2725
904,AMD Ryzen Embedded R1505G,2019,15,0,4194,1861
905,AMD A4-9120C,2019,6,0,938,666
906,AMD Ryzen 3 3300U,2019,15,0,5688,1822
907,AMD EPYC 7502P,2019,180,2582.02,48724,1838
908,AMD EPYC 7571,2019,120,0,22125,1743
909,AMD EPYC 7702P,2019,200,4783.99,63910,2073
910,AMD EPYC 7742,2019,225,7410,66679,2127
911,AMD Ryzen 7 2700E,2019,45,0,14647,2410
912,AMD Ryzen 7 PRO 3700,2019,65,0,22183,2695
913,AMD Ryzen 9 PRO 3900,2019,65,0,32008,2787
914,AMD Athlon PRO 300GE,2019,35,0,4325,1820
915,AMD EPYC 3251,2019,50,315,13341,1775
916,AMD EPYC 7402P,2019,180,1403.99,35435,1462
917,AMD Ryzen 3 PRO 3200G,2019,65,0,7354,2307
918,AMD Ryzen 5 3500,2019,65,0,12686,2457
919,AMD Ryzen 5 3500X,2019,65,0,13406,2519
920,AMD Ryzen 5 3580U,2019,15,0,7976,2099
921,AMD Ryzen 5 PRO 3400G,2019,65,0,9568,2324
922,AMD Ryzen 5 PRO 3400GE,2019,35,0,8205,2273
923,AMD Ryzen 7 3780U,2019,15,0,7185,2172
924,AMD Ryzen 9 3900,2019,65,0,31210,2721
925,AMD Ryzen Embedded V1756B,2019,45,0,7627,2086
926,AMD A6-9400,2019,10,0,2717,1664
927,AMD Athlon 3000G,2019,35,54.9,4620,2087
928,AMD EPYC 7302P,2019,155,913.99,38825,2073
929,AMD EPYC 7452,2019,155,2317.15,53075,2049
930,AMD PRO A4-4350B,2019,15,0,1028,809
931,AMD R-272F APU,2019,35,0,1219,1056
932,AMD Ryzen 9 3950X,2019,105,709.99,39400,2746
933,AMD Athlon 300GE,2019,35,0,4905,2010
934,AMD EPYC 7262,2019,155,667.2,28706,2007
935,AMD Ryzen Threadripper 3960X,2019,280,1322.79,56188,2690
936,AMD Ryzen Threadripper 3970X,2019,280,1899.99,62926,2694
821,AMD EPYC 7451,2018,180,2400,16718,1873
822,AMD Phenom II X6 1405T,2018,95,0,3490,1269
823,AMD PRO A10-9700B,2018,15,0,2703,1375
824,AMD A6-9220e,2018,-1,0,1030,859
825,AMD Athlon X4 830,2018,65,0,2862,1202
826,AMD EPYC 7251,2018,120,401.36,12529,1448
827,AMD Opteron 2373 EE,2018,60,0,1717,861
828,AMD Ryzen 3 2200G,2018,65,139.66,6758,2065
829,AMD Ryzen 5 2400G,2018,65,259.98,8853,2188
830,AMD A6-9200,2018,10,0,1038,838
831,AMD Embedded R-Series RX-418GD Radeon R6,2018,35,0,3365,1439
832,AMD EPYC 7551P,2018,180,2034.08,23581,1533
833,AMD PRO A6-7350B,2018,15,0,1681,1485
834,AMD Ryzen 3 PRO 2200G,2018,65,0,6619,2148
835,AMD A9-9420e,2018,-1,0,1178,1053
836,AMD Ryzen 5 2600,2018,65,157.95,13285,2268
837,AMD Ryzen 5 2600X,2018,95,198.45,14112,2417
838,AMD Ryzen 7 2700,2018,65,249.99,15861,2227
839,AMD Ryzen 7 2700X,2018,105,301.24,17583,2443
840,AMD Athlon PRO 200GE,2018,35,0,4019,1768
841,AMD Ryzen 3 PRO 2200GE,2018,35,0,6248,2093
842,AMD Ryzen 3 PRO 2300U,2018,15,0,5788,1761
843,AMD Ryzen 5 PRO 2400G,2018,65,0,8584,2218
844,AMD Ryzen 5 PRO 2400GE,2018,35,0,7672,2217
845,AMD Ryzen 5 PRO 2500U,2018,15,0,6561,1999
846,AMD Ryzen 7 PRO 2700U,2018,15,0,7346,2019
847,AMD A9-9425,2018,15,0,1557,1333
848,AMD Ryzen 5 2400GE,2018,35,0,7500,2111
849,AMD Ryzen 3 2300U,2018,15,0,5046,1448
850,AMD Ryzen 7 PRO 2700X,2018,105,0,17634,2403
851,AMD A6-9225,2018,15,0,1361,1204
852,AMD Ryzen 3 2200GE,2018,35,0,5951,1980
853,AMD Ryzen 5 PRO 2600,2018,65,0,13737,2279
854,AMD Ryzen 7 PRO 2700,2018,65,0,15251,2329
855,AMD Ryzen Embedded V1807B,2018,45,0,7764,2103
856,AMD Ryzen Threadripper 2990WX,2018,250,1432.65,30228,2299
857,AMD Athlon 200GE,2018,35,77.8,4143,1762
858,AMD Opteron X2170 APU,2018,25,0,1861,794
859,AMD Ryzen Threadripper 2950X,2018,180,649.99,30341,2499
860,AMD A6-9500E,2018,35,86.3,1895,1546
861,AMD G-T40R,2018,5.5,0,116,332
862,AMD Ryzen Embedded V1202B,2018,15,0,3625,1554
863,AMD Ryzen Embedded V1605B,2018,15,0,7104,2046
864,AMD Ryzen Threadripper 2990X,2018,250,0,21000,2371
865,AMD Sempron 240,2018,65,38.4,1282,1263
866,AMD A4-9125,2018,15,0,1319,1054
867,AMD Ryzen Threadripper 2920X,2018,180,486.01,25336,2488
868,AMD Ryzen Threadripper 2970WX,2018,250,901.32,26494,2362
757,AMD E2-9010,2017,15,0,993,842
758,AMD PRO A10-8770,2017,65,0,3660,1641
759,AMD PRO A10-8770E,2017,35,0,3183,1543
760,AMD PRO A12-8870,2017,65,0,3962,1797
761,AMD PRO A12-9800,2017,65,169,4001,1814
762,AMD PRO A12-9800E,2017,35,169,3106,1542
763,AMD PRO A6-8530B,2017,15,0,1543,1329
764,AMD PRO A6-8570,2017,65,0,1931,1660
765,AMD PRO A6-8570E,2017,35,0,1544,1138
766,AMD PRO A6-9500,2017,65,74,1935,1685
767,AMD PRO A6-9500E,2017,35,74,1606,1499
768,AMD PRO A8-9600B,2017,15,0,2534,1325
769,AMD R-260H APU,2017,17,0,957,877
770,AMD Ryzen 7 1800X,2017,95,285.43,16229,2163
771,AMD GX-218GL SOC,2017,15,0,735,598
772,AMD PRO A6-9500B,2017,15,0,1362,1180
773,AMD Ryzen 5 1600,2017,65,104.99,12525,2111
774,AMD Ryzen 7 1700,2017,65,279.86,14508,1984
775,AMD Ryzen 7 1700X,2017,95,249.99,15649,2076
776,AMD A8-9600,2017,65,72.31,3327,1495
777,AMD Opteron 4365 EE,2017,40,0,3243,922
778,AMD Ryzen 5 1400,2017,65,186.86,7971,1940
779,AMD Ryzen 5 1500X,2017,65,228.86,8982,2073
780,AMD Ryzen 5 1600X,2017,95,258.86,13132,2196
781,AMD A4-5050 APU,2017,13.5,0,1261,510
782,AMD E2-9000,2017,10,0,774,662
783,AMD Embedded R-Series RX-216GD,2017,15,0,1599,1288
784,AMD Opteron X3421 APU,2017,35,0,3137,1394
785,AMD Ryzen 3 1200,2017,65,87.2,6319,1922
786,AMD Ryzen 7 PRO 1700X,2017,95,0,15870,2217
787,AMD A12-9720P,2017,15,0,2671,1349
788,AMD A12-9730P,2017,35,0,2898,1464
789,AMD E2-9000e,2017,6,0,816,742
790,AMD Ryzen 5 PRO 1500,2017,65,0,9809,2203
791,AMD A10-9620P,2017,15,0,2670,1351
792,AMD A6-9220,2017,15,0,1396,1226
793,AMD A6-9230,2017,15,0,1281,1120
794,AMD A9-9420,2017,15,0,1569,1297
795,AMD Opteron X3216 APU,2017,15,0,1528,1265
796,AMD PRO A8-8670E,2017,35,0,3078,1446
797,AMD Ryzen 3 1300X,2017,65,192.9,7058,2135
798,AMD Ryzen 3 PRO 1200,2017,65,0,6848,1872
799,AMD Ryzen Threadripper 1920X,2017,180,301.06,22637,2266
800,AMD Ryzen Threadripper 1950X,2017,180,649.99,26793,2293
801,AMD A12-9800E,2017,35,121.38,3289,1537
802,AMD A4-9120,2017,15,0,1255,1064
803,AMD Athlon X4 950,2017,65,118.86,3656,1596
804,AMD Embedded G-Series GX-215JJ Radeon R2E,2017,10,0,1075,854
805,AMD Embedded G-Series GX-420GI Radeon R7E,2017,16.1,0,1462,777
806,AMD EPYC 7551,2017,180,1395,19606,1660
807,AMD PRO A12-8830B,2017,15,0,2462,1247
808,AMD Ryzen 3 PRO 1300,2017,65,0,7825,2222
809,AMD Ryzen 5 PRO 1600,2017,65,0,10758,1728
810,AMD Ryzen 7 PRO 1700,2017,65,0,14023,2016
811,AMD Ryzen Threadripper 1900X,2017,180,224.94,17108,2367
812,AMD A10-9700E,2017,35,154.1,2972,1455
813,AMD Embedded G-Series GX-224IJ Radeon R4E,2017,15,0,1272,1082
814,AMD EPYC 7351P,2017,155,1498,15792,1691
815,AMD EPYC 7401P,2017,155,980,21450,1645
816,AMD Ryzen 5 2500U,2017,15,0,6587,1829
817,AMD A9-9430,2017,-1,0,1668,1453
818,AMD EPYC 7501,2017,155,3353.8,20094,1735
819,AMD Ryzen 3 2200U,2017,15,0,3615,1668
820,AMD Ryzen 7 2700U,2017,15,0,6209,1444
709,AMD A6 Micro-6500T APU,2016,-1,0,1116,601
710,AMD A8-7050,2016,15,0,1114,828
711,AMD FX-4320,2016,95,0,3276,1601
712,AMD PRO A10-8850B,2016,95,0,3908,1691
713,AMD PRO A6-8500B,2016,15,0,1674,1340
714,AMD PRO A4-8350B,2016,65,17.95,1805,1599
715,AMD A10-7860K,2016,65,149.95,3268,1502
716,AMD Athlon X4 845,2016,65,53.1,3819,1682
717,AMD Athlon X4 870K,2016,95,79.9,3473,1586
718,AMD E1-6050J APU,2016,10,0,1385,787
719,AMD Opteron 4334,2016,95,128.6,3925,1253
720,AMD A10-7890K,2016,95,199.9,3624,1640
721,AMD Athlon 5370 APU,2016,25,598.68,1771,727
722,AMD Athlon X4 880K,2016,95,99.9,3705,1642
723,AMD A10-8850,2016,-1,0,3665,1707
724,AMD A6-7470K,2016,65,238.74,1817,1629
725,AMD A6-8500P,2016,15,0,1371,1202
726,AMD A10-9600P,2016,15,0,2269,1171
727,AMD A8-7500,2016,65,0,4488,1535
728,AMD E1-7010 APU,2016,10,0,635,483
729,AMD FX-9800P,2016,15,0,2776,1503
730,AMD Opteron 3320 EE,2016,25,0,1906,828
731,AMD Phenom II X4 B70,2016,65,0,2357,1256
732,AMD PRO A4-3350B APU,2016,15,0,1527,688
733,AMD PRO A6-8550B,2016,65,0,1924,1663
734,AMD A6-9210,2016,15,0,1147,1052
735,AMD A9-9410,2016,25,0,1472,1343
736,AMD GX-222GC SOC,2016,15,0,1011,781
737,AMD Phenom X2 Dual-Core GE-5060,2016,-1,0,1566,1053
738,AMD PRO A10-9700E,2016,35,139,3267,1544
739,AMD PRO A12-9800B,2016,15,0,2577,1365
740,AMD A10-9630P,2016,35,0,2891,1356
741,AMD A12-9700P,2016,15,0,2393,1091
742,AMD FirePro A320 APU,2016,100,0,2642,1440
743,AMD Geode NX 2400+,2016,-1,0,400,634
744,AMD PRO A8-9600,2016,65,119,3445,1520
745,AMD A12-9800,2016,65,130,3646,1761
746,AMD FX-870K Quad Core,2016,-1,0,3301,1496
747,AMD Phenom X4 Quad-Core GP-9530,2016,-1,0,1268,442
748,AMD Phenom X4 Quad-Core GP-9730,2016,-1,0,1842,1015
749,AMD FX-6330 Six-Core,2016,95,0,4451,1537
750,AMD PRO A10-9700,2016,65,169,3620,1652
751,AMD PRO A12-8870E,2016,35,0,3059,1629
752,AMD A10-9700,2016,65,88.99,3443,1599
753,AMD A6-9500,2016,65,58.99,1795,1620
754,AMD A9-9400,2016,10,0,1502,1236
755,AMD FX-9830P,2016,35,0,3003,1549
