,name,year,TDP,Price,CPU_Mark,Thread_Mark
0,AMD Athlon 64 X2 Dual Core 4200+,2008,89.0,195.49,730,734
1,AMD Athlon 64 X2 Dual Core 4800+,2008,65.0,149.95,751,805
2,AMD Athlon 64 X2 Dual Core 5200+,2008,65.0,60.0,781,916
3,AMD Athlon 64 X2 Dual Core 5400+,2008,65.0,52.9,839,970
4,AMD Athlon 64 X2 Dual Core 5600+,2008,89.0,15.95,855,960
5,AMD Athlon 64 X2 Dual Core 6000+,2008,89.0,17.95,995,1099
6,AMD Athlon 64 X2 Dual Core 6400+,2008,125.0,32.95,1099,1196
7,AMD Opteron 144,2008,67.0,29.9,486,579
8,AMD Phenom 9500 Quad-Core,2008,95.0,18.95,1427,758
9,AMD Phenom 9850 Quad-Core,2008,125.0,29.9,1873,1029
10,AMD Phenom 9950 Quad-Core,2008,125.0,34.9,1767,1048
11,AMD Turion X2 Dual-Core Mobile RM-72,2008,35.0,224.2,459,616
12,AMD Athlon 64 3000+,2008,89.0,39.86,473,554
13,AMD Athlon 64 3200+,2008,62.0,149.9,510,595
14,AMD Athlon 64 3500+,2008,45.0,18.9,563,664
15,AMD Athlon 64 3700+,2008,89.0,69.0,606,669
16,AMD Athlon 64 4000+,2008,62.0,15.0,494,536
17,AMD Athlon 64 X2 Dual Core 3600+,2008,65.0,50.0,802,665
18,AMD Athlon 64 X2 Dual Core 4400+,2008,65.0,99.68,745,838
19,AMD Athlon 64 X2 Dual Core 4600+,2008,65.0,359.9,950,842
20,AMD Athlon 64 X2 Dual Core 5000+,2008,65.0,331.4,929,856
21,AMD Athlon 64 X2 Dual-Core TK-55,2008,35.0,72.7,509,604
22,AMD Athlon XP 2600+,2008,-1.0,23.0,373,584
23,AMD Athlon XP 2700+,2008,-1.0,84.7,394,612
24,AMD Opteron 275,2008,95.0,54.99,1291,685
25,AMD Phenom 8450 Triple-Core,2008,95.0,29.9,1025,764
26,AMD Phenom 8650 Triple-Core,2008,95.0,14.8,1146,871
27,AMD Phenom 9550 Quad-Core,2008,95.0,17.9,1668,892
28,AMD Phenom 9600 Quad-Core,2008,95.0,11.9,1569,878
29,AMD Phenom 9650 Quad-Core,2008,95.0,38.95,1633,934
30,AMD Phenom 9750 Quad-Core,2008,125.0,29.1,1716,975
