,name,size,latency,readRate,writeRate,Price,RAMmark
0,A-DATA Technology DDR4 3000 8GB,8,28.78787879,18.2,14.3,389.9,724.05472939076
1,Corsair CMD8GX4M2B3000C15 4GB,4,21.0,18.5,14.2,291.0,989.9408470943807
2,Corsair CMD8GX4M2B3200C16 4GB,4,20.0,19.3,15.4,79.9,1039.5546490201
3,Corsair CMD8GX4M2B3600C18 4GB,4,22.0,18.1,14.4,179.9,945.2576496910182
4,Corsair CMD8GX4M2B3866C18 4GB,4,18.0,21.2,17.7,257.2,1155.1848788786779
5,Corsair CMD8GX4M2B4000C19 4GB,4,18.0,21.4,18.5,415.6,1155.4448376950777
6,Corsair CMD16GX4M2A2666C15 8GB,8,24.0,16.2,11.9,115.9,866.0523073679833
7,Corsair CMD16GX4M2B2400C10 8GB,8,22.0,17.6,12.4,192.9,944.6077526500181
8,Corsair CMD16GX4M2B3000C15 8GB,8,28.61111111,18.4,13.8,225.0,728.3772237846282
9,Corsair CMD16GX4M2B3200C14 8GB,8,23.0,17.0,12.5,219.9,903.7464673314998
10,Corsair CMD16GX4M2B3200C16 8GB,8,28.5,18.3,13.7,129.9,731.1440550635384
11,Corsair CMD16GX4M2B3466C16 8GB,8,18.0,20.8,16.6,351.5,1154.8059884333777
12,Corsair CMD16GX4M2B3600C18 8GB,8,18.0,20.9,16.6,239.9,1154.8231460915777
13,Corsair CMD16GX4M2B3733C17 8GB,8,24.0,17.2,12.4,259.9,866.3649111374832
14,Corsair CMD16GX4M2B3866C18 8GB,8,20.0,19.2,14.8,259.9,1039.3682587368999
15,Corsair CMD16GX4M2C3333C16 8GB,8,22.0,17.7,13.8,169.9,945.0197864332182
16,Corsair CMD16GX4M2E4000C19 8GB,8,20.0,19.4,15.2,279.9,1039.5153958033002
17,Corsair CMD16GX4M4A2666C15 4GB,4,38.8,13.9,11.1,371.9,537.4227199144134
18,Corsair CMD16GX4M4A2666C16 4GB,4,27.0,14.1,11.2,399.9,769.948300741385
19,Corsair CMD16GX4M4A2800C16 4GB,4,39.33333333,12.6,9.8,253.1,529.6207013844453
20,Corsair CMD16GX4M4B2133C10 4GB,4,24.0,15.8,11.7,204.6,865.9272658601833
21,Corsair CMD16GX4M4B2400C10 4GB,4,25.0,13.7,10.2,145.9,830.7472206884
22,Corsair CMD16GX4M4B3000C14 4GB,4,25.0,15.8,13.1,452.4,831.9254891981
23,Corsair CMD16GX4M4B3000C15 4GB,4,32.0,15.9,11.5,445.0,650.9089327241124
24,Corsair CMD16GX4M4B3200C14 4GB,4,28.0,13.0,9.2,199.9,741.8965269677856
25,Corsair CMD16GX4M4B3200C15 4GB,4,22.0,17.7,14.1,297.4,945.1044027457182
26,Corsair CMD16GX4M4B3200C16 4GB,4,25.0,15.0,12.0,259.9,831.4779681199999
27,Corsair CMD16GX4M4B3300C16 4GB,4,23.0,16.5,13.1,270.7,903.8299116654999
28,Corsair CMD16GX4M4B3400C16 4GB,4,22.0,17.0,13.1,249.9,944.7022447633182
29,Corsair CMD16GX4M4B3600C18 4GB,4,23.0,16.4,13.5,583.8,903.9255757573
30,Corsair CMD16GX4M4C3200C15 4GB,4,25.0,14.3,12.0,194.9,831.3578645125999
31,Corsair CMD16GX4M4C3200C16 4GB,4,21.0,18.6,14.6,429.9,990.0708265025809
32,Corsair CMD32GX4M2A2666C15 16GB,16,27.66666667,17.8,13.1,440.1,752.70048160813
33,Corsair CMD32GX4M2A2800C16 16GB,16,26.0,15.7,10.7,229.9,799.4806446210539
34,Corsair CMD32GX4M2B2800C14 16GB,16,24.0,16.6,13.8,259.9,866.6568413132833
35,Corsair CMD32GX4M2B3000C15 16GB,16,26.57142857,19.1,14.7,196.9,784.1219233916945
36,Corsair CMD32GX4M2B3466C16 16GB,16,20.0,19.7,13.3,699.9,1039.0309654654
37,Corsair CMD32GX4M2C3200C16 16GB,16,27.33333333,19.1,14.3,209.9,762.3589661848034
38,Corsair CMD32GX4M4A2400C12 8GB,8,22.0,17.7,13.1,259.9,944.8223483707183
39,Corsair CMD32GX4M4A2400C14 8GB,8,27.0,14.0,10.9,917.9,769.846526770685
40,Corsair CMD32GX4M4A2666C15 8GB,8,26.0,14.9,11.8,219.9,799.6536431679539
41,Corsair CMD32GX4M4A2666C16 8GB,8,28.0,14.3,11.6,671.2,742.7965070243856
42,Corsair CMD32GX4M4A2800C16 8GB,8,26.0,14.7,11.8,439.9,799.6193278515539
