,Brand,Name,year,Memory,Memory_speed,Memory_bus,Memory_Type,Memory_bandwidth,power,openGl,process,L2Cache,DirectX,Resolution,price,G2DMark,G3DMark
0,AMD,FirePro V3900,2012,0,900,0,0,28.8,75,0,40,0,0,0,129.9,320,759
1,AMD,FirePro V5800,2010,0,1000,0,1,64.0,74,0,40,0,1,1,54.9,482,1433
2,AMD,FirePro V5900,2011,1,1000,1,1,128.0,75,1,40,0,0,13,319.9,494,1325
3,AMD,FirePro V7900,2011,1,1250,1,1,160.0,150,1,40,0,0,13,144.0,651,2749
4,AMD,FirePro W2100,2014,1,900,0,0,28.8,26,2,28,512,2,0,113.9,388,895
5,AMD,FirePro W5000,2012,1,800,1,1,102.4,75,0,28,0,1,14,169.8,555,2949
6,AMD,FirePro W7000,2012,2,1200,1,1,153.6,150,0,28,0,1,14,146.0,572,4395
7,AMD,FirePro W8000,2012,2,1375,1,1,176.0,225,0,28,0,1,14,1048.9,713,4674
8,AMD,FirePro W9000,2012,3,1375,2,1,264.0,274,0,28,0,1,3,3443.9,647,5305
9,AMD,FirePro W9100,2014,4,1250,3,1,320.0,290,2,28,1024,3,4,3593.1,884,7750
10,Nvidia,GeForce 210,2009,5,500,4,2,4.0,31,3,40,0,4,5,38.97,104,97
11,Nvidia,GeForce 405,2011,0,790,4,0,12.6,25,3,40,0,4,6,24.6,240,138
12,Nvidia,GeForce 510,2011,0,898,4,0,14.4,25,4,40,128,2,0,69.9,281,238
13,Nvidia,GeForce 6600,2004,6,275,0,3,4.4,28,5,90,0,5,13,149.9,169,70
14,Nvidia,GeForce 6600 GT,2004,7,475,0,4,15.2,48,5,90,0,5,13,64.9,279,101
15,Nvidia,GeForce 7300 GT,2006,6,325,0,5,10.4,24,6,90,0,5,13,149.9,165,110
16,Nvidia,GeForce 7300 LE,2006,6,333,4,5,5.3,23,6,90,0,5,13,32.0,285,56
17,Nvidia,GeForce 7600 GS,2006,6,400,0,5,12.8,27,6,90,0,5,13,175.0,94,201
18,Nvidia,GeForce 7800 GT,2005,6,500,1,4,32.0,65,6,90,0,5,13,80.0,273,244
19,Nvidia,GeForce 7950 GT,2006,5,700,1,4,44.8,65,6,90,0,5,13,299.9,382,265
20,Nvidia,GeForce 7950 GX2,2006,0,600,1,4,76.8,110,6,90,0,5,13,54.9,413,202
21,Nvidia,GeForce 8400 GS,2007,6,400,4,5,6.4,18,3,80,0,6,6,49.9,145,118
22,Nvidia,GeForce 8400M GS,2007,6,600,4,4,9.6,11,7,80,0,7,13,14.9,249,82
23,Nvidia,GeForce 8600 GT,2007,6,700,0,4,22.4,47,3,80,0,6,5,189.0,165,113
24,Nvidia,GeForce 8800 GT,2007,5,900,1,4,57.6,105,3,65,0,6,0,269.9,253,536
