,name,year,TDP,price,G3DMark,G2DMark
0,GeForce RTX 2080 Ti,2018,250,1149.99,21579,944
1,GeForce RTX 2080 SUPER,2019,250,709.99,19186,913
2,TITAN V,2017,250,2149.9,18793,991
3,GeForce RTX 2080,2018,250,609.99,18782,924
4,TITAN RTX,2018,280,2499.99,18502,849
5,Quadro RTX 8000,2019,260,4741.4,18467,924
6,Quadro RTX 6000,2018,295,6300,18351,790
7,GeForce RTX 2070 SUPER,2019,215,509.99,18120,896
8,NVIDIA TITAN Xp,2017,250,1398.6,17934,883
9,GeForce GTX 1080 Ti,2017,250,800,17283,913
10,Radeon VII,2019,300,599.9,17209,828
11,Radeon RX 5700 XT,2019,225,379.99,16692,934
12,GeForce RTX 2060 SUPER,2019,175,369.99,16308,854
13,GeForce RTX 2070,2018,175,399.99,16262,864
14,Quadro RTX 4000,2019,160,899,15850,972
15,Quadro P6000,2016,250,2749.9,15557,888
16,Radeon RX Vega 64,2017,295,389.9,14767,789
17,GeForce RTX 2060,2019,160,279.99,14703,818
18,GeForce GTX 1080,2016,180,669.9,14664,861
19,GeForce RTX 2080 with Max-Q Design,2019,90,2099.9,14366,571
20,Radeon RX 5700,2019,180,329.99,14142,858
21,Radeon Pro W5700,2020,205,799.99,13957,838
22,GeForce GTX 1070 Ti,2017,180,503.25,13944,826
23,Radeon Pro WX 8200,2018,230,969.99,13840,770
24,NVIDIA TITAN X,2016,250,608.1,13660,912
25,GeForce GTX 980 Ti,2015,250,309.2,13647,802
26,Radeon Vega Frontier Edition,2017,350,890,13588,803
27,GeForce GTX 1070,2016,150,245.9,13309,830
28,Radeon RX Vega 56,2017,210,259.99,13225,764
29,Radeon RX 5600 XT,2020,150,269.99,12913,861
30,GeForce GTX 1660 Ti,2019,120,279.99,12783,810
31,Quadro GV100,2018,250,8999,12721,802
32,GeForce GTX 1660 SUPER,2019,125,229.98,12704,804
33,GeForce GTX TITAN X,2015,250,599.9,12645,757
34,Quadro P5000,2016,180,1714.37,12222,755
35,Quadro M6000,2015,250,1054,11816,748
36,GeForce GTX 1660,2019,120,214.99,11354,762
37,Quadro P4000,2017,105,789.99,11194,756
38,GeForce GTX 980,2014,165,223.1,10955,740
39,GeForce GTX 1060,2016,120,302.2,10230,763
40,Radeon R9 Fury,2015,-1,443.1,10004,836
41,GeForce GTX 1650 SUPER,2019,100,159.98,9936,743
42,Radeon R9 Fury + Fury X,2015,275,374.1,9631,814
43,GeForce GTX 1060 3GB,2016,120,235.9,9570,720
44,GeForce GTX 970,2014,145,197.4,9541,730
45,Quadro P2200,2019,-1,414.99,9485,892
46,Radeon Pro Duo,2016,350,449,9436,824
47,Radeon Pro W5500,2020,125,399.99,9436,869
48,GeForce GTX 780 Ti,2013,250,225.1,9422,635
49,Radeon RX 590,2018,175,149.9,9384,795
50,Quadro M5000,2015,150,648.9,9170,508
51,Radeon RX 5500 XT,2019,130,179.99,8977,796
52,GeForce GTX Titan,2013,250,310,8951,691
53,GeForce GTX TITAN Black,2014,250,433.1,8890,557
54,Radeon RX 580,2017,185,169.99,8724,735
55,Radeon RX 480,2016,150,198.2,8501,743
56,Quadro K6000,2013,225,724.2,8338,706
57,Radeon R9 295X2,2014,500,499.1,8218,813
58,Radeon R9 290 / 390,2013,275,179.3,8153,695
59,Radeon R9 290X / 390X,2013,290,220.1,7998,630
60,Radeon RX 470,2016,120,99.9,7914,691
61,GeForce GTX 780,2013,250,129.9,7900,541
62,Radeon Pro WX 7100,2016,130,499.99,7890,758
63,GeForce GTX 1650,2019,75,139.99,7855,711
64,FirePro W9100,2014,275,3593.1,7750,884
65,GeForce GTX TITAN Z,2014,375,919.1,7647,696
66,GeForce GTX 980M,2014,100,289.9,7526,588
67,Quadro P2000,2017,75,453.8,7245,737
68,Radeon RX 570,2017,150,124.99,6967,626
69,Tesla M60,2017,-1,1395,6923,661
70,Quadro M4000,2015,120,279,6540,634
