,name,year,TDP,price,G3DMark,G2DMark
0,GeForce RTX 2080 Ti,2018,250,1149.99,21579,944
1,GeForce RTX 2080 SUPER,2019,250,709.99,19186,913
2,TITAN V,2017,250,2149.9,18793,991
3,GeForce RTX 2080,2018,250,609.99,18782,924
4,TITAN RTX,2018,280,2499.99,18502,849
5,Quadro RTX 8000,2019,260,4741.4,18467,924
6,Quadro RTX 6000,2018,295,6300,18351,790
7,GeForce RTX 2070 SUPER,2019,215,509.99,18120,896
8,NVIDIA TITAN Xp,2017,250,1398.6,17934,883
9,TITAN Xp COLLECTORS EDITION,2017,250,0,17424,977
10,GeForce GTX 1080 Ti,2017,250,800,17283,913
11,Radeon VII,2019,300,599.9,17209,828
12,Quadro RTX 5000,2019,230,0,17197,832
13,TITAN V CEO Edition,2018,250,0,16988,1086
14,Radeon RX 5700 XT 50th Anniversary,2019,235,0,16781,956
15,Radeon RX 5700 XT,2019,225,379.99,16692,934
16,GeForce RTX 2060 SUPER,2019,175,369.99,16308,854
17,GeForce RTX 2070,2018,175,399.99,16262,864
18,Quadro RTX 4000,2019,160,899,15850,972
19,GeForce RTX 2080 Super with Max-Q Design,2020,80,0,15736,579
20,GeForce RTX 2070 Super with Max-Q Design,2020,-1,0,15701,769
21,Quadro P6000,2016,250,2749.9,15557,888
22,GeForce RTX 2080 (Mobile),2019,150,0,15098,817
23,Radeon RX Vega 64,2017,295,389.9,14767,789
24,GeForce RTX 2060,2019,160,279.99,14703,818
25,GeForce GTX 1080,2016,180,669.9,14664,861
26,GeForce RTX 2080 with Max-Q Design,2019,90,2099.9,14366,571
27,Radeon RX 5700,2019,180,329.99,14142,858
28,Radeon Pro W5700,2020,205,799.99,13957,838
29,GeForce GTX 1070 Ti,2017,180,503.25,13944,826
30,Radeon Pro WX 8200,2018,230,969.99,13840,770
31,NVIDIA TITAN X,2016,250,608.1,13660,912
32,GeForce GTX 980 Ti,2015,250,309.2,13647,802
33,Radeon Vega Frontier Edition,2017,350,890,13588,803
34,Quadro RTX 5000 (Mobile),2019,110,0,13430,655
35,GeForce GTX 1070,2016,150,245.9,13309,830
36,Radeon RX Vega 56,2017,210,259.99,13225,764
37,GeForce RTX 2070 (Mobile),2019,115,0,13066,612
38,Radeon RX 5600 XT,2020,150,269.99,12913,861
39,GeForce GTX 1660 Ti,2019,120,279.99,12783,810
40,Quadro GV100,2018,250,8999,12721,802
41,GeForce GTX 1660 SUPER,2019,125,229.98,12704,804
42,Quadro GP100,2017,235,0,12663,852
43,GeForce GTX TITAN X,2015,250,599.9,12645,757
44,GeForce RTX 2070 with Max-Q Design,2019,80,0,12343,555
45,Quadro M6000 24GB,2016,250,0,12244,924
46,Quadro P5000,2016,180,1714.37,12222,755
47,Radeon Pro Vega 56,2018,-1,0,12209,826
48,Quadro P4200,2018,100,0,12019,802
49,Quadro P4200 with Max-Q Design,2018,-1,0,11940,694
50,Radeon Pro Vega II,2020,-1,0,11919,768
51,Radeon Pro Vega 48,2019,-1,0,11872,901
52,Quadro M6000,2015,250,1054,11816,748
53,Radeon Pro WX 9100,2017,230,0,11771,807
54,Quadro RTX 5000 with Max-Q Design,2019,80,0,11722,412
55,Radeon Pro Vega 64,2018,-1,0,11456,708
56,GeForce RTX 2060 (Mobile),2019,80,0,11384,549
57,GeForce GTX 1660,2019,120,214.99,11354,762
58,Radeon RX5600,2020,-1,0,11251,940
59,Quadro RTX 3000,2019,80,0,11203,542
60,Quadro P4000,2017,105,789.99,11194,756
61,Quadro RTX 4000 with Max-Q Design,2019,80,0,11186,832
62,GeForce GTX 1080 with Max-Q Design,2017,110,0,11058,701
63,GeForce GTX 980,2014,165,223.1,10955,740
64,GeForce GTX 1070 with Max-Q Design,2017,90,0,10599,495
65,GeForce GTX 1070 (Mobile),2019,-1,0,10583,601
66,Radeon Pro SSG,2018,-1,0,10498,601
67,Radeon Instinct MI25 MxGPU,2020,-1,0,10466,727
