name,year,size,HardMark,SSD_HDD,price
SanDisk SDSSDA-1T00,2020,931.5,3982,1,109.99
CT2000BX500SSD1,2020,1.8,3070,1,199.99
CT500P2SSD8,2020,465.8,16878,1,69.99
WDC WDS250G2B0C,2020,232.9,11261,1,54.99
WDC WDS500G2B0C,2020,465.8,15426,0,69.99
INTEL SSDPEKNW010T9,2020,953.9,15892,1,139.99
ADATA SU630,2019,223.6,3943,1,39.93
ADATA SU635,2019,223.6,3473,1,29.99
ADATA SU750,2019,238.5,4233,1,37.99
ADATA SU750,2019,238.5,4233,1,37.99
addlink S70 M.2 G3x4 1TB,2019,953.9,20676,1,124.8
Lexar 250GB SSD,2019,232.9,11767,1,44.99
Lexar SSD,2019,111.8,3165,1,30.2
Maxtor Z1 SSD 240GB,2019,223.6,2490,1,53.99
Micron 2200 MTFDHBA256TCK,2019,238.5,14144,1,64.9
MKNSSDHL1TB-D8,2019,931.5,13092,1,124.99
MKNSSDSR1TB,2019,931.5,3242,1,104.9
NVMe INTEL SSDPEKNW02,2019,1.9,13125,1,276.99
Patriot P200 256GB,2019,238.5,3026,1,109
Patriot P200 512GB,2019,476.9,3001,1,140
PNY CS3030 1TB SSD,2019,931.5,24643,1,145.9
PNY CS3030 250GB SSD,2019,232.9,11659,1,67.9
PNY CS3030 500GB SSD,2019,465.8,17713,1,86.99
Samsung SSD 970 EVO Plus 1TB,2019,931.5,24173,1,217.9
Samsung SSD 970 EVO Plus 250GB,2019,232.9,18988,1,69.9
Samsung SSD 970 EVO Plus 2TB,2019,1.8,26410,1,492
Samsung SSD 970 EVO Plus 500GB,2019,465.8,21746,1,109.9
SanDisk SDSSDH3 1T00,2019,931.5,4273,1,133.99
SanDisk SDSSDH3 500G,2019,465.8,4052,1,74.99
SanDisk SDSSDH3 512G,2019,476.9,4484,1,132.8
Viper M.2 VP4100,2019,931.5,30921,1,219.99
Viper M.2 VPN100 1TB,2019,953.9,23535,1,159.99
Viper M.2 VPN100 256GB,2019,238.5,13262,1,54.99
Viper M.2 VPN100 512GB,2019,476.9,17479,1,87.99
WD Black SN750 NVMe 1TB,2019,931.5,24369,1,149.9
WD Black SN750 NVMe 250GB,2019,232.9,14519,1,54.99
Corsair Force MP510 1920GB,2019,1.7,26400,1,316.99
Corsair Force MP600 1TB,2019,931.5,31014,1,194.99
Corsair Force MP600 2TB,2019,1.8,29121,1,389.99
CT1000BX500SSD1,2019,931.5,2958,1,99.99
CT960BX500SSD1,2019,894.3,2865,1,99.99
WDC WDS100T2B0C,2019,931.5,16847,1,119.99
WDC WDS100T2G0A,2019,931.5,3209,1,99.99
WDC WDS250G1B0C,2019,232.9,11582,1,68.45
WDC WDS500G1B0C,2019,465.8,13509,1,76.9
XPG GAMMIX S11 Pro,2019,238.5,14171,1,139.9
XPG GAMMIX S11 Pro,2019,238.5,14171,1,139.9
XPG GAMMIX S5,2019,238.5,12625,1,45.9
XPG GAMMIX S50,2019,931.5,30534,1,194.99
XPG SPECTRIX S40G,2019,238.5,13049,1,49.9
Force MP600,2019,465.8,26978,1,119.99
Gigabyte AORUS NVMe Gen4 M.2 1TB,2019,931.5,29893,1,229.99
Gigabyte AORUS NVMe Gen4 M.2 2TB,2019,1.8,28543,1,415.99
GIGABYTE GP-ASM2NE6500GTTD,2019,465.8,22606,1,129.99
GIGABYTE GP-GSM2NE3256GNTD,2019,238.5,14781,1,57.01
GIGABYTE GP-GSM2NE3512GNTD,2019,476.9,14350,0,79.99
GIGABYTE GP-GSTFS31480GNTD,2019,447.1,3728,1,59.99
Gigabyte M.2 PCIe SSD 128GB,2019,119.2,6283,1,27.9
HP SSD EX900 1TB,2019,953.9,11799,1,119.9
HP SSD EX950 1TB,2019,953.9,19045,1,144.99
HP SSD EX950 2TB,2019,1.8,21100,1,254.9
HP SSD EX950 512GB,2019,476.9,17703,1,79.99
ADATA SU655,2018,111.8,2357,1,22.99
KINGSTON SUV400S37 120G,2018,111.8,2362,1,33.2
Mushkin Pilot 500GB PCIe NVMe,2018,465.8,15342,1,85.9
Mushkin Source 250GB MKNSSDSR250GB,2018,232.9,2818,1,41.9
Mushkin Source 500GB MKNSSDSR500GB,2018,465.8,3130,1,62.9
PLEXTOR PX-1TM9PeG,2018,953.9,16641,1,136.9
PLEXTOR PX-1TM9PeGN,2018,953.9,18308,1,120.9
PLEXTOR PX-256M9PeG,2018,238.5,12671,1,42.9
PLEXTOR PX-256M9PeGN,2018,238.5,12803,1,39.9
PLEXTOR PX-512M9PeG,2018,476.9,16028,1,79.9
PLEXTOR PX-512M9PeGN,2018,476.9,17224,1,69.9
PLEXTOR PX-512M9PeY,2018,476.9,13685,1,94.9
PLEXTOR PX-512S2G,2018,476.9,3322,1,59.9
PNY CS900 120GB,2018,111.8,2246,1,31.9
PNY CS900 960GB SSD,2018,894.3,3542,1,92.9
SAMSUNG MZNLN128HAHQ-00000,2018,119.2,3301,1,51.7
SAMSUNG MZNLN128HAHQ-000L1,2018,119.2,4789,1,52.2
Samsung PM981 256GB NVMe,2018,238.5,13414,1,159.99
Samsung SSD 850 120GB,2018,111.8,3971,1,61.9
Samsung SSD 860 EVO 1TB,2018,931.5,4827,1,154.04
Samsung SSD 860 EVO 250G,2018,232.9,3258,1,79.9
Samsung SSD 860 EVO 250GB,2018,232.9,4089,1,59.99
Samsung SSD 860 EVO 2TB,2018,1.8,4680,1,299.99
Samsung SSD 860 EVO 4TB,2018,3.6,4775,1,489
Samsung SSD 860 EVO 500G,2018,465.8,3515,1,105.9
Samsung SSD 860 EVO 500GB,2018,465.8,4355,1,89.99
Samsung SSD 860 EVO mSATA 1TB,2018,931.5,5099,1,289
Samsung SSD 860 EVO mSATA 500GB,2018,465.8,3506,1,139
Samsung SSD 860 PRO 1TB,2018,953.9,5147,1,282.61
Samsung SSD 860 PRO 256GB,2018,238.5,4963,1,84
Samsung SSD 860 PRO 2TB,2018,1.9,4929,1,549.9
Samsung SSD 860 PRO 512G,2018,476.9,4248,1,242.1
Samsung SSD 860 PRO 512GB,2018,476.9,4796,1,149.99
Samsung SSD 970 EVO 1TB,2018,931.5,22338,1,179.99
Samsung SSD 970 EVO 250GB,2018,232.9,14335,1,84.99
Samsung SSD 970 EVO 2TB,2018,1.8,20081,1,449.99
Samsung SSD 970 EVO 500GB,2018,465.8,19659,1,99.99
Samsung SSD 970 PRO 1TB,2018,953.9,22662,1,319.99
Samsung SSD 970 PRO 512GB,2018,476.9,22231,1,149.99
SanDisk Extreme Pro 500GB,2018,465.8,21205,1,137.9
SanDisk SD9SN8W-128G-1006,2018,119.2,3703,1,52.5
SanDisk X600 M.2 2280 128GB,2018,119.2,3686,1,38.5
Seagate BarraCuda SSD ZA250CM10002,2018,232.9,3305,1,108.3
Seagate BarraCuda SSD ZA500CM10002,2018,465.8,3955,1,138.7
Seagate ST2000DM008,2018,1.8,837,0,72.61
Seagate ST500LM034,2018,465.8,765,0,50.9
T-FORCE 1TB,2018,931.5,4306,1,109.99
T-FORCE 250GB,2018,238.5,4093,1,48.9
T-FORCE 500GB,2018,465.8,4444,1,62.99
TOSHIBA KSG60ZMV256G,2018,238.5,4172,1,40.4
Toshiba XG5-P NVMe 2TB,2018,1.9,19401,1,382
WD Black NVMe 1TB,2018,931.5,22720,1,312.2
WD Black NVMe 500GB,2018,465.8,20506,1,69.99
Corsair Force MP510 240GB,2018,223.6,11247,1,54.99
Corsair Force MP510 480GB,2018,447.1,16927,1,84.99
Corsair Force MP510 960GB,2018,894.3,22943,1,154.99
Crucial MX500 1TB M.2,2018,931.5,4867,1,269
Crucial MX500 500GB CT500MX500SSD4,2018,465.8,4790,1,70.99
CT1000P1SSD8,2018,931.5,12505,1,149.93
CT120BX500SSD1,2018,111.8,2918,1,28.99
CT2000MX500SSD1,2018,1.8,4399,1,229.99
CT240BX500SSD1,2018,223.6,2957,1,40.99
CT250MX500SSD1,2018,232.9,4118,1,50.99
CT250MX500SSD4,2018,232.9,4531,1,49.99
CT480BX500SSD1,2018,447.1,2705,1,60.99
CT500MX500SSD1,2018,465.8,4626,1,69.99
CT500P1SSD8,2018,465.8,10632,1,85
CUK Cyclone M.2 NVMe 500GB,2018,465.8,15693,1,1249.9
WDC WDS120G2G0B,2018,111.8,2636,1,34.98
WDC WDS200T2B0A,2018,1.8,4599,1,224.9
WDC WDS200T2B0B,2018,1.8,4825,1,229.99
WDC WDS240G2G0B,2018,223.6,2982,1,45.07
WDC WDS480G2G0A,2018,447.1,2566,1,55.99
WDC WDS480G2G0B,2018,447.1,2915,1,76.99
XPG GAMMIX S11 240GB,2018,223.6,12601,1,104.9
XPG GAMMIX S11 480GB,2018,447.1,16835,1,92.9
XPG SX950U,2018,894.3,2433,1,109.9
GIGABYTE GP-GSTFS31120GNTD,2018,111.8,2904,1,26.9
GIGABYTE GP-GSTFS31240GNTD,2018,223.6,3192,1,36.9
