name,DDR3_4,size,totalSize,latency,readRate,writeRate,Price,RAMmark
G Skill Intl F3-12800CL9-4GBRL,0,4,4,38.39130435,13.8,8.9,22.99,542.4474727
G Skill Intl F3-12800CL10-8GBXL,0,8,8,40.6,13.7,8.5,38.99,513.0729794
Corsair CMZ16GX3M2A1600C9,0,8,16,39,14.7,9.2,106.99,534.2963497
Corsair CMZ16GX3M4A1600C9,0,4,16,40.44827586,13.5,9.3,109.99,515.1710677
Corsair CMW16GX4M2C3200C16,1,8,16,26.92307692,18.7,14.6,114.99,773.8804524
Corsair CMK32GX4M2A2666C16 ,1,16,32,31.8490566,17.2,12.9,129.99,654.5834331
Corsair CMY16GX3M2A1866C9,0,8,16,37.31578947,14.6,9.3,139.98,558.1913703
Micron Technology 8JTF51264AZ-1G6E1,0,4,4,42.42857143,13.3,7.9,14.08,490.9275102
Corsair CMU16GX4M2C3000C15,1,8,16,27.70833333,19,14.4,159.63,752.1513128
Samsung M471A2K43BB1-CPB ,1,16,16,38.5,13.4,8.5,164.99,540.7483201
Corsair CMK32GX4M2B3000C15 ,1,16,32,31.8,17.7,13.8,169.99,655.9227047
Corsair CMK32GX4M2B3200C16 ,1,16,32,27.93814433,18.8,14.7,179.99,746.074862
Corsair CMK32GX4M2B3200C16 ,1,16,32,27.93814433,18.8,14.7,18.99,746.074862
Corsair CMU16GX4M2C3200C16,1,8,16,26.73913043,18.8,13.9,199.99,778.9735265
G Skill Intl F3-12800CL9-4GBXL,0,4,4,38.76271186,14.1,9.2,24.99,537.4328047
Corsair CMZ4GX3M1A1600C9,0,4,4,37,13.2,8.3,24.99,562.3894209
Corsair CMY16GX3M2A2400C11,0,8,16,36.70833333,15.6,10.3,259,567.7971919
Samsung M471B5173DB0-YK0,0,4,4,42.13333333,12.7,8.3,27.54,494.3458257
G Skill Intl F3-14900CL9-4GBXL,0,4,4,32.75,15.4,10.5,29.99,635.7715349
Corsair CML16GX3M4A1600C9,0,4,16,40.11111111,14.1,8.9,299.99,519.4500818
Samsung M471A2K43CB1-CTD ,1,16,16,35.90196078,16,11,30.99,580.6908466
Crucial Technology BLS4G3D1609DS1S00.,0,4,4,36.68292683,15.4,9.9,34.99,568.0394438
Samsung M471A1K43CB1-CTD,1,8,8,34.96,16,11.6,35.51,596.3486256
Samsung M471B5173QH0-YK0,0,4,4,43.125,11.6,8.1,40,482.8370545
Samsung M471A1K43CB1-CRC,1,8,8,39.84090909,13.8,9.6,40.49,523.0855379
G Skill Intl F3-14900CL10-8GBXL,0,8,8,38.125,14.2,8.9,41.99,546.2710431
Corsair CMZ8GX3M1A1600C10,0,8,8,39.4,13.2,8.3,42.61,528.4127574
Corsair CMZ8GX3M1A1600C10,0,8,8,39.4,13.2,8.3,44.99,528.4127574
Samsung M471A1G43DB0-CPB,1,8,8,38.71794872,14,10.4,45,538.3696596
Corsair CMZ8GX3M2A1600C9,0,4,8,37.8375,14.3,9,48.99,550.4295415
Samsung M471B1G73DB0-YK0,0,8,8,44.69565217,11.8,8.3,49.99,466.1106049
Crucial Technology CT102464BA160B.C16,0,8,8,40.17647059,13.4,8.2,50.39,518.2955129
Corsair CMX8GX3M2A1600C9,0,4,8,38.125,14.3,8.6,52.49,546.2035845
Samsung M471A2K43CB1-CRC ,1,16,16,37.71052632,14,8.4,60,552.0453578
Corsair CML8GX3M2A1600C9,0,4,8,39.61538462,14.5,8.8,61.04,525.928952
Corsair CMK16GX4M2A2133C13,1,8,16,34.59259259,15.9,11.6,67.99,602.6013708
Corsair CMK16GX4M2A2400C16,1,8,16,30.79487179,16.7,11.9,67.99,676.3980252
Samsung M378B1G73DB0-CK0,0,8,8,42.5,12.8,8.6,68.75,490.2216519
Corsair CMK16GX4M2A2666C16,1,8,16,30.89189189,17.1,12.7,69.99,674.5875216
Corsair CMK16GX4M2A2400C14,1,8,16,32.83018868,16.5,11.9,69.99,634.8159426
Corsair CML16GX3M2A1600C10,0,8,16,43.22727273,13.1,8,76,481.9339692
Corsair CMZ16GX3M2A1600C10,0,8,16,39.76190476,14.1,9.2,76.99,524.0534416
Corsair CMY16GX3M2A1600C9,0,8,16,39.26315789,14.4,9,77.99,530.6416879
Crucial Technology BLT8G3D1608DT1TX0.,0,8,8,38.5,14.9,9,79.89,541.1467122
Crucial Technology BLS8G3D1609DS1S00.,0,8,8,37.75925926,14.4,9.3,79.99,551.6615134
Corsair CMK16GX4M2B3000C15,1,8,16,28.97037037,18.1,13.6,87.99,719.3242104
Corsair CMZ8GX3M2A1866C9,0,4,8,33.83333333,13.8,8.7,89.7,614.8115316
Corsair CMK16GX4M2B3200C16,1,8,16,28.95918367,18.3,13.9,89.99,719.7183298
Kingston KHX1600C9D3/4GX,0,4,4,38.84090909,14.1,8.9,24.97,536.2762859
Kingston KHX1600C10D3/8G,0,8,8,38.85227273,14,8.7,47.28,536.0473073
Kingston KHX1866C10D3/8G,0,8,8,36.85057471,15.1,10.1,46.19,565.4848692
Kingston KHX1866C10D3/8G,0,8,8,36.85057471,15.1,10.1,17.91,565.4848692
G Skill Intl F3-2400C10-8GTX,0,8,8,36.625,15.9,11.1,84.32,569.3535244
SK Hynix HMA81GS6AFR8N-UH,1,8,8,37.91428571,13.8,9.8,37.99,549.4647523
Kingston KHX2400C11D3/8GX,0,8,8,36.5,15.2,10.3,35.99,570.9375535
Kingston KHX2133C14D4/8G,1,8,8,33.82142857,15.7,10.9,35.99,615.9727563
G Skill Intl F4-3200C16-8GTZR,1,8,8,27.93700787,18.5,14.1,50.99,745.8842064
G Skill Intl F4-3200C16-8GVKB,1,8,8,26.94871795,19,14.4,67.99,773.1461576
Samsung M471B1G73QH0-YK0,0,8,8,45.60526316,11.3,7.7,34.88,456.645939
G Skill Intl F4-2400C15-8GVR,1,8,8,31.87096774,16.5,12,36.99,653.7639878
